Building ID,season,status,rc_file,sim_file,plot_file,window_start_hour,window_end_hour_exclusive,plotted_hours,window_mode
DEBW_52210005LZh,Summer,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210005LZh_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210005LZh_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210005LZh_summer_14day_hourly_comparison.png,5424,5760,336,manual-date
DEBW_52210004HiD,Winter,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210004HiD_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210004HiD_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210004HiD_winter_14day_hourly_comparison.png,648,984,336,manual-date
DEBW_52210004HiD,Spring,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210004HiD_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210004HiD_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210004HiD_spring_14day_hourly_comparison.png,2304,2640,336,manual-date
DEBW_52210004HiD,Summer,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210004HiD_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210004HiD_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210004HiD_summer_14day_hourly_comparison.png,5424,5760,336,manual-date
DEBW_52210005K93,Winter,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210005K93_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210005K93_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210005K93_winter_14day_hourly_comparison.png,648,984,336,manual-date
DEBW_52210005K93,Spring,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210005K93_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210005K93_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210005K93_spring_14day_hourly_comparison.png,2304,2640,336,manual-date
DEBW_52210005K93,Summer,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210005K93_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210005K93_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210005K93_summer_14day_hourly_comparison.png,5424,5760,336,manual-date
DEBW_52210004Ihn,Winter,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210004Ihn_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210004Ihn_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210004Ihn_winter_14day_hourly_comparison.png,648,984,336,manual-date
DEBW_52210004Ihn,Spring,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210004Ihn_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210004Ihn_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210004Ihn_spring_14day_hourly_comparison.png,2304,2640,336,manual-date
DEBW_52210004Ihn,Summer,ok,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\Rc_Hourly_Results\03_medium\rc_hourly_DEBW_52210004Ihn_03_medium.csv,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\SimStadt_Hourly_Heat_Demand\DEBW_52210004Ihn_hourly_demand.prn,F:\Backup_project1\20260511_RC_BaseSim_filter2\RC_BuildingSimulator\rc_simulator\CSV_Import\data\comparisons_all\representative_14day_plots\DEBW_52210004Ihn_summer_14day_hourly_comparison.png,5424,5760,336,manual-date
