rc_building_id,simstadt_building_id,annual_rc_kwh,annual_simstadt_kwh,annual_diff_kwh,annual_diff_pct
DEBW_52210005MSz,DEBW_52210005MSz,7734.473168410769,7107.400000000001,627.0731684107686,8.822820840402517
DEBW_52210005MV3,DEBW_52210005MV3,17901.848450773166,18945.8,-1043.9515492268329,-5.51020040973109
DEBW_52210005Mki,DEBW_52210005Mki,10755.173043763843,13840.399999999998,-3085.2269562361544,-22.29145802315074
DEBW_52210005N87,DEBW_52210005N87,7576.58396665934,9654.5,-2077.91603334066,-21.522772109800194
DEBW_52210005PFV,DEBW_52210005PFV,6829.316514943215,6415.299999999999,414.01651494321595,6.453579956404471
DEBW_52210005PRs,DEBW_52210005PRs,13174.429188008075,15403.4,-2228.970811991925,-14.470641624523969
DEBW_52210005Q4u,DEBW_52210005Q4u,7716.036045396574,7775.699999999999,-59.66395460342483,-0.7673129699374311
DEBW_52210005dgg,DEBW_52210005dgg,5037.004487096814,6019.7,-982.6955129031858,-16.32465925051391
DEBW_52210005diH,DEBW_52210005diH,10690.897093787127,13487.5,-2796.6029062128728,-20.73477594967839
DEBW_52210005djN,DEBW_52210005djN,10069.230291865157,13429.900000000001,-3360.6697081348448,-25.02378802623135
DEBW_52210005dnU,DEBW_52210005dnU,4760.34055279476,5162.599999999999,-402.25944720523967,-7.791799620447831
DEBW_52210005doZ,DEBW_52210005doZ,8175.201653539032,9974.1,-1798.8983464609682,-18.035695917034804
DEBW_52210005eg5,DEBW_52210005eg5,8001.708017137047,9525.800000000001,-1524.091982862954,-15.999621899084108
DEBW_52210005ej5,DEBW_52210005ej5,9101.56879449795,10167.900000000001,-1066.3312055020506,-10.487231439157057
DEBW_52210005elC,DEBW_52210005elC,9329.387878026642,10220.599999999999,-891.2121219733563,-8.719763242601768
DEBW_52210005ela,DEBW_52210005ela,8513.109777009548,9139.6,-626.4902229904528,-6.8546787932781825
DEBW_52210005ely,DEBW_52210005ely,4116.68385521746,4094.5000000000005,22.18385521745995,0.5417964395520808
DEBW_52210005em7,DEBW_52210005em7,19738.39697685307,21794.399999999998,-2056.003023146928,-9.433629845955513
DEBW_52210005enf,DEBW_52210005enf,18285.418368316125,20542.2,-2256.781631683876,-10.986075647612603
DEBW_52210005evc,DEBW_52210005evc,9734.265301859808,11442.1,-1707.834698140192,-14.925885092248729
DEBW_52210005fBS,DEBW_52210005fBS,6579.379737753536,9053.2,-2473.820262246465,-27.325368513304298
DEBW_52210005fRL,DEBW_52210005fRL,6728.132699860436,7383.200000000001,-655.0673001395644,-8.872403566740225
DEBW_52210005fRo,DEBW_52210005fRo,7562.439738202868,9025.4,-1462.9602617971314,-16.209367582568433
DEBW_52210005fiS,DEBW_52210005fiS,6121.788784485391,7096.700000000001,-974.9112155146095,-13.737528929144663
DEBW_52210005g5H,DEBW_52210005g5H,2030.073320794762,2392.9999999999995,-362.92667920523763,-15.166179657552767
DEBW_52210005gBZ,DEBW_52210005gBZ,6960.348658065102,7655.8,-695.4513419348978,-9.083980014301545
DEBW_52210005gOD,DEBW_52210005gOD,9403.500558160476,12237.5,-2833.9994418395236,-23.15832026017997
DEBW_52210005gvh,DEBW_52210005gvh,8073.1706649216,9521.5,-1448.3293350783997,-15.211146721403138
DEBW_52210005gwl,DEBW_52210005gwl,1817.14331173561,2512.7999999999997,-695.6566882643897,-27.684522773972848
DEBW_52210005gxN,DEBW_52210005gxN,5056.541848356581,5053.0,3.5418483565808856,0.07009397103860847
DEBW_52210005hG5,DEBW_52210005hG5,8666.696651561928,8968.699999999999,-302.00334843807104,-3.3673034936843806
DEBW_52210005hJf,DEBW_52210005hJf,6401.796951081498,6871.4,-469.6030489185014,-6.834168421551669
DEBW_52210005jPg,DEBW_52210005jPg,9232.139618305617,10466.199999999999,-1234.0603816943822,-11.790911521797618
DEBW_52210005k39,DEBW_52210005k39,10886.66084026815,14805.000000000002,-3918.3391597318514,-26.466323267354614
DEBW_52210005k3y,DEBW_52210005k3y,8586.243859856808,9238.4,-652.1561401431918,-7.059189255100362
DEBW_52210005xLD,DEBW_52210005xLD,7782.331743603552,9812.599999999999,-2030.2682563964463,-20.69042105452629
DEBW_52210005xM5,DEBW_52210005xM5,9650.414341961186,11935.2,-2284.7856580388143,-19.143254055556792
DEBW_52210005xO2,DEBW_52210005xO2,5582.678629944692,7500.7,-1918.0213700553077,-25.57123161911965
DEBW_52210005xRe,DEBW_52210005xRe,2371.948242098845,2664.9,-292.9517579011549,-10.992973766413558
DEBW_52210005xix,DEBW_52210005xix,6678.426630734671,6841.0,-162.57336926532935,-2.37645620911167
DEBW_52210005xzK,DEBW_52210005xzK,6406.149178200201,7332.299999999999,-926.150821799798,-12.631109226297315
DEBW_52210005y1r,DEBW_52210005y1r,10738.382909939455,10995.2,-256.8170900605455,-2.3357200420232966
