rc_building_id,simstadt_building_id,match_type,annual_rc_cooling_kwh,annual_simstadt_cooling_kwh,annual_diff_cooling_kwh,annual_diff_cooling_pct,hours_compared,mae_kwh_h,rmse_kwh_h,bias_kwh_h,corr,annual_rc_kwh,annual_simstadt_kwh,annual_diff_kwh,annual_diff_pct
DEBW_522100053Xz,DEBW_522100053Xz,exact,923.0581544974714,2135.0,-1211.9418455025286,-56.7654260188538,8760,0.24181161359484912,0.3646924658192452,-0.20418772972201243,0.959030062194144,5819.215487635171,7607.899999999999,-1788.6845123648282,-23.51088358633563
DEBW_522100054BV,DEBW_522100054BV,exact,2795.8513782435384,5491.0,-2695.1486217564616,-49.083019882652735,8760,0.4577723620062303,0.7688584143644189,-0.17847579765892682,0.9605659761145748,19528.652012507802,21092.1,-1563.4479874921963,-7.412481391099968
DEBW_522100054Ih,DEBW_522100054Ih,exact,5396.820195581615,13931.0,-8534.179804418385,-61.260353200907225,8760,1.084220903496671,1.7398654031562828,-0.5557341899971603,0.9703328334308631,48940.968495624875,53809.2,-4868.231504375122,-9.047210336476146
DEBW_52210005J24,DEBW_52210005J24,exact,5013.698046702826,16004.0,-10990.301953297174,-68.672219153319,8760,0.9846309428417779,1.642207855135702,-0.2117100045887096,0.9625228176063362,44212.520359802904,46067.09999999999,-1854.5796401970874,-4.025822420332705
DEBW_52210005JLO,DEBW_52210005JLO,exact,2984.6313698089702,8908.0,-5923.368630191029,-66.49493298373406,8760,0.6049460715239399,1.0199001550937408,-0.08977450648533061,0.9597588287663227,26939.6753231885,27726.100000000002,-786.4246768115008,-2.8364056856590025
DEBW_52210005JMk,DEBW_52210005JMk,exact,2068.654034415347,7016.0,-4947.345965584653,-70.51519335211877,8760,0.5236863422334858,0.9032035257415819,-0.012575620620897078,0.9666389941677094,27133.83756336094,27244.0,-110.16243663906062,-0.404354854790268
DEBW_52210005JOp,DEBW_52210005JOp,exact,3586.6789266854694,8320.0,-4733.321073314531,-56.89087828503041,8760,0.7717978143458919,1.2091326596159273,-0.48119766311048306,0.9668507978343683,29666.80847115217,33882.100000000006,-4215.291528847836,-12.44105745761873
DEBW_52210005JfZ,DEBW_52210005JfZ,exact,3992.1112811452813,10636.0,-6643.888718854719,-62.46604662330499,8760,0.7595044600456102,1.288533586632462,-0.1512900858282949,0.9651930795534914,36623.49884814414,37948.8,-1325.3011518558633,-3.492340078884874
DEBW_52210005Jkv,DEBW_52210005Jkv,exact,1167.7682859996557,4867.0,-3699.2317140003443,-76.00640464352463,8760,0.5760646314223136,0.8869639334868686,-0.3471056536899211,0.9737920274584154,24716.554473676293,27757.199999999997,-3040.645526323704,-10.95443894313441
DEBW_52210005JtI,DEBW_52210005JtI,exact,5775.061388197476,16118.0,-10342.938611802525,-64.17011174961239,8760,1.2031168801582588,1.9148655890118058,-0.5893506882376481,0.9655234552588762,49198.08797103821,54360.8,-5162.712028961796,-9.497122980091897
DEBW_52210005K5d,DEBW_52210005K5d,exact,1900.1536482150386,5155.0,-3254.8463517849614,-63.13959945266656,8760,0.401174401739508,0.704841708685193,0.03332396642618589,0.9631077138790235,19951.717945893386,19659.8,291.9179458933868,1.4848469765378427
DEBW_52210005K93,DEBW_52210005K93,exact,4477.240341670246,12678.0,-8200.759658329753,-64.684963387993,8760,0.9438537612578465,1.5013379702966434,-0.4464702576430443,0.9638135634173749,37749.52054304693,41660.600000000006,-3911.079456953077,-9.387957583311515
DEBW_52210005KEF,DEBW_52210005KEF,exact,14866.617098776442,39817.0,-24950.38290122356,-62.662638825686415,8760,3.302743289984189,5.0968180287496985,-2.249321113539271,0.9698894515667436,123751.74704539598,143455.8,-19704.052954604005,-13.735278012184942
DEBW_52210005KUx,DEBW_52210005KUx,exact,3924.272755736188,10867.0,-6942.727244263811,-63.88816825493523,8760,0.7764028398890862,1.291767867998428,-0.19047199609030738,0.9621073880429528,34600.365314248906,36268.9,-1668.5346857510958,-4.600455723088088
DEBW_52210005KXK,DEBW_52210005KXK,exact,2176.3983806719984,4820.0,-2643.6016193280016,-54.846506625062275,8760,0.42600066111298585,0.6852348688602696,-0.2252947893572302,0.9634029281645905,17055.617645230664,19029.2,-1973.5823547693362,-10.371336444881216
DEBW_52210005Kf7,DEBW_52210005Kf7,exact,3051.065903636863,8838.0,-5786.934096363137,-65.47786938632198,8760,0.6481028273150359,1.1419374505740647,0.20605669475381233,0.9557396484110056,28658.956646043396,26853.899999999998,1805.0566460433984,6.721767214607184
DEBW_52210005KyO,DEBW_52210005KyO,exact,4200.803591059768,11541.0,-7340.196408940232,-63.60104331461945,8760,0.8017726249611993,1.3760904815350463,-0.08643202233373698,0.9643429816219063,39085.255484356465,39842.399999999994,-757.1445156435293,-1.9003486628404147
DEBW_52210005L39,DEBW_52210005L39,exact,4786.988433401192,13263.0,-8476.011566598809,-63.907197214799126,8760,0.8861996623581352,1.5278537846290337,-0.06754826957995101,0.9633289749947861,42766.47715847963,43358.200000000004,-591.7228415203717,-1.3647311039673502
DEBW_52210005L4M,DEBW_52210005L4M,exact,2681.1921892124547,6243.0,-3561.8078107875453,-57.052824135632626,8760,0.4788084871439633,0.8223131630342126,-0.04786849449816666,0.9618747240704895,22456.37198819606,22875.699999999997,-419.32801180393653,-1.833071826453121
DEBW_52210005LJS,DEBW_52210005LJS,exact,3244.4231090675175,9064.0,-5819.5768909324825,-64.20539376580409,8760,0.6076924236491918,1.031848414526132,-0.08894033804789966,0.9614867568696562,27867.582638700398,28646.699999999997,-779.117361299599,-2.719745594779151
DEBW_52210005LZh,DEBW_52210005LZh,exact,3171.753503684074,8453.0,-5281.2464963159255,-62.47777707696588,8760,0.6171478149903679,1.0576542686753228,-0.06994896025333455,0.9654553168945255,30591.847108180787,31204.6,-612.7528918192111,-1.9636620620652439
DEBW_52210005M2x,DEBW_52210005M2x,exact,4270.520560936749,12157.0,-7886.479439063251,-64.8719210254442,8760,0.9269563827057791,1.458710341740844,-0.4819363327244404,0.9642354815147273,35823.937725333904,40045.7,-4221.762274666093,-10.542361039177973
DEBW_52210005MRo,DEBW_52210005MRo,exact,2893.496406965299,8195.0,-5301.503593034701,-64.69192914014279,8760,0.4206244344044707,0.715445412331777,-0.032047117449735714,0.9496874453817338,16550.467251140315,16831.199999999997,-280.73274885968203,-1.6679306814706145
DEBW_52210005MSz,DEBW_52210005MSz,exact,2565.9296376888733,8234.0,-5668.070362311127,-68.83738598871905,8760,0.5203373370321558,0.9301102605569718,0.1455628836714634,0.9601158463103632,24844.130860962017,23569.0,1275.1308609620173,5.410203491713765
DEBW_52210005MV3,DEBW_52210005MV3,exact,7238.1708819053165,21022.0,-13783.829118094684,-65.56859061028771,8760,1.273558224708978,2.2486775630707267,0.11226506009601443,0.9629592464307807,62742.64192644108,61759.200000000004,983.4419264410753,1.592381258891105
DEBW_52210005Mki,DEBW_52210005Mki,exact,4687.46804992103,12785.0,-8097.53195007897,-63.336190458185136,8760,0.9689567861982733,1.5475218529433337,-0.4530428458693356,0.9642700230827215,39465.54467018462,43434.200000000004,-3968.6553298153813,-9.137166863474821
DEBW_52210005N87,DEBW_52210005N87,exact,3248.8088169117173,9568.0,-6319.191183088283,-66.0450583516752,8760,0.7104073603694664,1.1344292113040921,-0.30059089425595886,0.9622735630048601,28487.623766317804,31120.800000000003,-2633.1762336821994,-8.461145708600675
DEBW_52210005PFV,DEBW_52210005PFV,exact,2036.6913091219285,6695.0,-4658.3086908780715,-69.57891995336925,8760,0.4388371313638808,0.7854008770342581,0.12540245510833753,0.9629013239850838,21841.025506749036,20742.500000000004,1098.5255067490325,5.296013049290261
DEBW_52210005PRs,DEBW_52210005PRs,exact,6989.759815763929,18242.0,-11252.24018423607,-61.683149787501755,8760,1.224216059398563,2.0956827754292573,-0.07485784145204291,0.9508364376988219,50194.745308880105,50850.5,-655.7546911198951,-1.2895737330407668
DEBW_52210005Q4u,DEBW_52210005Q4u,exact,3597.981991388833,9528.0,-5930.018008611167,-62.237804456456416,8760,0.5354559637764963,0.9377851122389336,0.045488499091566256,0.9571838502452469,23939.87925204212,23541.4,398.4792520421179,1.6926744035703818
DEBW_52210005dgg,DEBW_52210005dgg,exact,2179.555623236929,4627.0,-2447.444376763071,-52.894842808797726,8760,0.3883738658106413,0.6496662946418602,-0.1354904389026807,0.9624877304015537,17203.403755212516,18390.300000000003,-1186.8962447874874,-6.453925410610416
DEBW_52210005diH,DEBW_52210005diH,exact,4504.626749157476,13349.0,-8844.373250842524,-66.25494981528597,8760,0.9931475538810391,1.5752107961805843,-0.46143873458187745,0.9628225309002978,39013.79668506275,43056.0,-4042.203314937251,-9.388246272150806
DEBW_52210005djN,DEBW_52210005djN,exact,4502.361425120499,11060.0,-6557.638574879501,-59.291488018802,8760,0.9445338936357488,1.4804470354296588,-0.5641909155236895,0.9658636737926487,36039.98758001248,40982.299999999996,-4942.3124199875165,-12.059626765670831
DEBW_52210005dnU,DEBW_52210005dnU,exact,1751.593782278598,4946.0,-3194.406217721402,-64.5856493675981,8760,0.3757126588431711,0.6656621850687191,0.07525518639422872,0.96190789222711,18457.735432813446,17798.5,659.2354328134461,3.703881972151845
DEBW_52210005doZ,DEBW_52210005doZ,exact,3477.740286543412,9369.0,-5891.259713456588,-62.88034703230427,8760,0.6611624037034174,1.104913625385696,-0.17719447538217767,0.9632090882915232,29964.676395652124,31516.9,-1552.223604347877,-4.925051652757336
DEBW_52210005eg5,DEBW_52210005eg5,exact,3435.6226827701284,8188.0,-4752.377317229872,-58.04075863739462,8760,0.6380582708400836,1.064221575874744,-0.208865360095771,0.963998430984793,28916.23944556105,30745.9,-1829.660554438953,-5.950909078735549
DEBW_52210005ej5,DEBW_52210005ej5,exact,3705.9962409549717,9374.0,-5668.003759045028,-60.46515637982749,8760,0.6817001034948591,1.1407764744877382,-0.1816770425270739,0.9636601526598667,31195.009107462833,32786.5,-1591.4908925371674,-4.8541042579633915
DEBW_52210005elC,DEBW_52210005elC,exact,3588.159613075485,8343.0,-4754.840386924515,-56.99197395330834,8760,0.6352479186642865,1.0684904547542644,-0.17932885117445002,0.9651426120855078,29808.579263711817,31379.5,-1570.9207362881825,-5.006200660584721
DEBW_52210005ela,DEBW_52210005ela,exact,3471.744937225783,9686.0,-6214.255062774217,-64.1570830350425,8760,0.6483243515231646,1.1277157753420084,0.00887591357272274,0.9607372906692621,30626.453002897055,30548.700000000004,77.75300289705046,0.2545214784820646
DEBW_52210005ely,DEBW_52210005ely,exact,1575.8769246998538,4055.0,-2479.1230753001464,-61.13743712207512,8760,0.34071912704221585,0.5981193162433153,0.14263277552183923,0.9553563481417996,14769.463113571312,13520.0,1249.4631135713116,9.241591076710884
DEBW_52210005em7,DEBW_52210005em7,exact,7152.993579671251,18432.0,-11279.00642032875,-61.192526151957196,8760,1.3465214858761374,2.1879889554452654,-0.6054496725507681,0.9680089831535335,60527.76086845527,65831.5,-5303.739131544731,-8.056536964135303
DEBW_52210005enf,DEBW_52210005enf,exact,5959.060523985183,14935.0,-8975.939476014817,-60.10002996996865,8760,1.2311564504514967,1.9778087303999818,-0.6787895921723206,0.9710922379641515,55858.40317257047,61804.600000000006,-5946.196827429536,-9.620961590932609
DEBW_52210005evc,DEBW_52210005evc,exact,4250.412134271881,9221.0,-4970.587865728119,-53.90508476009239,8760,0.7526860387219959,1.2401212066560172,-0.3495007719221135,0.9649169758347829,32758.073237962286,35819.7,-3061.626762037711,-8.547326644382034
DEBW_52210005fBS,DEBW_52210005fBS,exact,3590.5868539294497,8912.0,-5321.41314607055,-59.7106502027665,8760,0.7217151805386776,1.1319426751134714,-0.4499220144210481,0.966271109537034,27385.78315367162,31327.1,-3941.31684632838,-12.581173636654464
DEBW_52210005fRL,DEBW_52210005fRL,exact,2039.3520674902172,5479.0,-3439.6479325097825,-62.778754015509804,8760,0.43795392059571286,0.7492681131114182,-0.050070902103862634,0.9669597180918758,22355.87889757016,22794.500000000004,-438.6211024298427,-1.9242409459731193
