rc_building_id,simstadt_building_id,annual_rc_kwh,annual_simstadt_kwh,annual_diff_kwh,annual_diff_pct
DEBW_52210004edl,DEBW_52210004edl,20936.76998057553,25397.8,-4461.03001942447,-17.56463165874395
DEBW_52210004evV,DEBW_52210004evV,34666.840225399756,40855.299999999996,-6188.45977460024,-15.1472630836152
DEBW_52210004ewN__01,DEBW_52210004ewN__01,18492.66396364797,22048.6,-3555.936036352028,-16.127718024509623
DEBW_52210004f3W,DEBW_52210004f3W,23814.60208248134,25517.7,-1703.0979175186621,-6.674182694830106
DEBW_52210004fK1,DEBW_52210004fK1,25783.904201315978,28628.600000000002,-2844.6957986840243,-9.936552254333165
DEBW_52210004fgD,DEBW_52210004fgD,21333.78317556659,22739.5,-1405.7168244334098,-6.1818282039332875
DEBW_52210004xfl,DEBW_52210004xfl,32919.82924093827,38768.899999999994,-5849.070759061724,-15.087017581261591
DEBW_52210004xqq,DEBW_52210004xqq,29816.782769651614,38419.2,-8602.417230348383,-22.390932737663416
DEBW_52210004xrI,DEBW_52210004xrI,23625.802349063353,28366.6,-4740.797650936645,-16.71260443950507
DEBW_52210004xsG,DEBW_52210004xsG,16533.581478506043,19289.300000000003,-2755.71852149396,-14.286254667063913
DEBW_52210004xx4,DEBW_52210004xx4,21042.294558772315,23539.600000000002,-2497.305441227687,-10.60895444794171
DEBW_52210004y9B,DEBW_52210004y9B,30597.86560617034,37357.7,-6759.834393829657,-18.09488912280375
DEBW_52210004yBG,DEBW_52210004yBG,43164.26362381186,49397.0,-6232.7363761881425,-12.617641508974517
DEBW_52210004ylt,DEBW_52210004ylt,38122.3651286812,44383.6,-6261.234871318797,-14.107091068139576
DEBW_52210004yr8,DEBW_52210004yr8,21085.701116953842,22523.999999999996,-1438.2988830461545,-6.385628143518712
DEBW_52210004zAp,DEBW_52210004zAp,13037.046975382687,14545.499999999998,-1508.4530246173108,-10.370582136174837
DEBW_52210004zCV,DEBW_52210004zCV,4490.224459220019,6269.1,-1778.8755407799817,-28.375293754765146
DEBW_52210004zDV,DEBW_52210004zDV,18643.744424064902,20354.1,-1710.3555759350966,-8.403002716578461
DEBW_52210004zE4,DEBW_52210004zE4,17429.876103997223,21163.9,-3734.023896002778,-17.64336391687155
DEBW_52210004zH7,DEBW_52210004zH7,23123.570500051123,26657.4,-3533.829499948879,-13.25646724717669
DEBW_52210004zVF,DEBW_52210004zVF,44742.84473734017,50616.399999999994,-5873.555262659822,-11.604055726325505
DEBW_52210004zyP,DEBW_52210004zyP,31684.34335821476,39522.200000000004,-7837.856641785245,-19.83152922100805
DEBW_522100050H1,DEBW_522100050H1,6637.136761266276,7004.1,-366.9632387337242,-5.239263270566156
DEBW_522100050Oj,DEBW_522100050Oj,17807.328513316992,20959.000000000004,-3151.6714866830116,-15.03731803369918
DEBW_522100050uW,DEBW_522100050uW,23788.97343873763,29683.300000000003,-5894.326561262373,-19.857382977170236
DEBW_522100050wu,DEBW_522100050wu,34220.57568599154,39649.399999999994,-5428.824314008452,-13.692071794298155
DEBW_522100050y5,DEBW_522100050y5,23720.471265653483,25809.9,-2089.4287343465185,-8.095454590473107
DEBW_5221000518C,DEBW_5221000518C,38187.75610098745,46647.9,-8460.143899012553,-18.13617311607286
DEBW_522100051DN,DEBW_522100051DN,13863.21314731822,16477.199999999997,-2613.9868526817772,-15.864266093036303
DEBW_522100051Hd,DEBW_522100051Hd,14721.832355080065,20865.5,-6143.667644919935,-29.444142938918
DEBW_522100053Xz,DEBW_522100053Xz,5188.475070199508,7527.699999999999,-2339.224929800491,-31.07489578225077
DEBW_522100054BV,DEBW_522100054BV,17576.277202947254,20915.800000000003,-3339.5227970527485,-15.966507602160798
DEBW_522100054Ih,DEBW_522100054Ih,44127.10507244893,53344.7,-9217.594927551065,-17.279307836675557
DEBW_52210005J24,DEBW_52210005J24,39818.78809863495,45789.600000000006,-5970.811901365058,-13.039668180908015
DEBW_52210005JLO,DEBW_52210005JLO,24120.080603723673,27526.9,-3406.819396276329,-12.376327869379875
DEBW_52210005JMk,DEBW_52210005JMk,24403.095527611666,27034.999999999996,-2631.9044723883308,-9.73517467130879
DEBW_52210005JOp,DEBW_52210005JOp,26709.37323565397,33581.1,-6871.726764346029,-20.46307823253565
DEBW_52210005JfZ,DEBW_52210005JfZ,32906.83574804925,37612.1,-4705.26425195075,-12.509974853705987
DEBW_52210005Jkv,DEBW_52210005Jkv,22356.310197825223,27485.300000000003,-5128.9898021747795,-18.660847078892274
DEBW_52210005JtI,DEBW_52210005JtI,44217.940167599365,53935.9,-9717.959832400637,-18.01760948162659
DEBW_52210005K5d,DEBW_52210005K5d,17959.012352522852,19487.9,-1528.8876474771496,-7.845317594390106
DEBW_52210005K93,DEBW_52210005K93,33885.81050909633,41341.40000000001,-7455.58949090368,-18.034196933107438
DEBW_52210005KEF,DEBW_52210005KEF,111667.87078148469,142338.3,-30670.429218515303,-21.547559032611254
DEBW_52210005KUx,DEBW_52210005KUx,31015.732844807346,36020.3,-5004.567155192657,-13.893740904969299
DEBW_52210005KXK,DEBW_52210005KXK,15315.320098641198,18870.3,-3554.9799013588017,-18.839021644376622
DEBW_52210005Kf7,DEBW_52210005Kf7,25641.343493907978,26683.100000000002,-1041.7565060920242,-3.9041809463369104
DEBW_52210005KyO,DEBW_52210005KyO,35067.31802260172,39532.100000000006,-4464.781977398285,-11.29406729568701
DEBW_52210005L39,DEBW_52210005L39,38407.6339457216,43053.6,-4645.966054278397,-10.791120961495432
DEBW_52210005L4M,DEBW_52210005L4M,20156.78831913394,22718.0,-2561.211680866061,-11.273931159723837
DEBW_52210005LJS,DEBW_52210005LJS,25039.10162097493,28446.800000000003,-3407.6983790250742,-11.979197586459897
DEBW_52210005LZh,DEBW_52210005LZh,27452.141977355375,30921.5,-3469.3580226446247,-11.219889147177934
DEBW_52210005M2x,DEBW_52210005M2x,32165.974695408542,39726.600000000006,-7560.625304591464,-19.03164455199152
