rc_building_id,simstadt_building_id,match_type,annual_rc_cooling_kwh,annual_simstadt_cooling_kwh,annual_diff_cooling_kwh,annual_diff_cooling_pct,hours_compared,mae_kwh_h,rmse_kwh_h,bias_kwh_h,corr,annual_rc_kwh,annual_simstadt_kwh,annual_diff_kwh,annual_diff_pct
DEBW_52210004zAp,DEBW_52210004zAp,exact,1333.295354178815,4367.0,-3033.7046458211853,-69.46884922878832,8760,0.6982921778978989,1.243036735880489,-0.1721978338604238,0.8238070193114742,13037.046975382687,14545.499999999998,-1508.4530246173108,-10.370582136174837
DEBW_52210004zCV,DEBW_52210004zCV,exact,1644.650531113909,3011.0,-1366.349468886091,-45.3785941177712,8760,0.26160390274352874,0.46546962801635905,-0.2030679841073038,0.8692945605217851,4490.224459220019,6269.1,-1778.8755407799817,-28.375293754765146
DEBW_52210004zDV,DEBW_52210004zDV,exact,1621.635178204214,5805.0,-4183.364821795786,-72.06485481129693,8760,0.9673956376742386,1.6907893648881194,-0.19524607031222585,0.8332007976154792,18643.744424064902,20354.1,-1710.3555759350966,-8.403002716578461
DEBW_52210004zE4,DEBW_52210004zE4,exact,2251.0230591753307,5881.0,-3629.9769408246693,-61.72380446904726,8760,0.9556517036398536,1.7479947342184428,-0.4262584356167556,0.824631018097928,17429.876103997223,21163.9,-3734.023896002778,-17.64336391687155
DEBW_52210004zH7,DEBW_52210004zH7,exact,2606.288138427652,8153.0,-5546.711861572348,-68.03277151444068,8760,1.2688363113573018,2.2850077468495233,-0.40340519405809117,0.8187892865462421,23123.570500051123,26657.4,-3533.829499948879,-13.25646724717669
DEBW_52210004zVF,DEBW_52210004zVF,exact,4663.065589172536,15959.0,-11295.934410827464,-70.78096629379951,8760,2.3961581919390866,4.258018385538665,-0.6704971761027206,0.8259014883671757,44742.84473734017,50616.399999999994,-5873.555262659822,-11.604055726325505
DEBW_52210004zyP,DEBW_52210004zyP,exact,3579.028325962917,11917.0,-8337.971674037082,-69.96703594895597,8760,1.6969398877055921,3.1659193470707665,-0.8947324933544797,0.8303136373199055,31684.34335821476,39522.200000000004,-7837.856641785245,-19.83152922100805
DEBW_522100050H1,DEBW_522100050H1,exact,646.4508186158956,2363.0,-1716.5491813841045,-72.64279227186223,8760,0.280772383488851,0.4849987420452284,-0.04189078067736583,0.8803972981229159,6637.136761266276,7004.1,-366.9632387337242,-5.239263270566156
DEBW_522100050Oj,DEBW_522100050Oj,exact,2332.698795480454,6184.0,-3851.301204519546,-62.27848002133807,8760,0.9705550446169067,1.7547998036573416,-0.35977985007796887,0.8246683905839297,17807.328513316992,20959.000000000004,-3151.6714866830116,-15.03731803369918
DEBW_522100050uW,DEBW_522100050uW,exact,2654.4991527407383,9355.0,-6700.500847259262,-71.62480862917437,8760,1.324403820809881,2.494436716904543,-0.6728683289112293,0.815424729472606,23788.97343873763,29683.300000000003,-5894.326561262373,-19.857382977170236
DEBW_522100050wu,DEBW_522100050wu,exact,3648.816691133483,12247.0,-8598.183308866517,-70.20644491603264,8760,1.7993678318960546,3.252290416706921,-0.6197288029690023,0.8296558210761751,34220.57568599154,39649.399999999994,-5428.824314008452,-13.692071794298155
DEBW_522100050y5,DEBW_522100050y5,exact,2452.6285560922493,8524.0,-6071.37144390775,-71.22678840811533,8760,1.20302661932256,2.099379482952154,-0.2385192619117028,0.8414533072669289,23720.471265653483,25809.9,-2089.4287343465185,-8.095454590473107
DEBW_5221000518C,DEBW_5221000518C,exact,2761.8159894533364,12793.0,-10031.184010546664,-78.41150637494461,8760,2.071284092009712,3.862857226501098,-0.9657698514854505,0.8179088241888166,38187.75610098745,46647.9,-8460.143899012553,-18.13617311607286
DEBW_522100051DN,DEBW_522100051DN,exact,1805.1826664951634,4260.0,-2454.817333504837,-57.62482003532481,8760,0.7449668768242173,1.354208670689399,-0.29840032564860514,0.8283265239118728,13863.21314731822,16477.199999999997,-2613.9868526817772,-15.864266093036303
DEBW_522100051Hd,DEBW_522100051Hd,exact,2459.735796685646,4925.0,-2465.264203314354,-50.0561259556214,8760,0.961625354728833,1.8503353774461717,-0.7013319229360656,0.7927997737263163,14721.832355080065,20865.5,-6143.667644919935,-29.444142938918
DEBW_522100053Xz,DEBW_522100053Xz,exact,829.5069451052846,2262.0,-1432.4930548947154,-63.3286054330113,8760,0.3204554893916128,0.5976694378674635,-0.2670348093379557,0.8410077651846051,5188.475070199508,7527.699999999999,-2339.224929800491,-31.07489578225077
DEBW_522100054BV,DEBW_522100054BV,exact,2395.1050025402683,5698.0,-3302.8949974597317,-57.96586517128346,8760,0.96930924956709,1.7566666254049614,-0.38122406359049593,0.8227491231515113,17576.277202947254,20915.800000000003,-3339.5227970527485,-15.966507602160798
DEBW_522100054Ih,DEBW_522100054Ih,exact,4903.3249720889735,14621.0,-9717.675027911027,-66.46381935511269,8760,2.4284868629989513,4.499712019330469,-1.0522368638756925,0.8167191335947782,44127.10507244893,53344.7,-9217.594927551065,-17.279307836675557
DEBW_52210005J24,DEBW_52210005J24,exact,4436.55504261645,16598.0,-12161.44495738355,-73.27054438717646,8760,2.1858467174225993,3.947036408849692,-0.6815995321192984,0.8181330905378867,39818.78809863495,45789.600000000006,-5970.811901365058,-13.039668180908015
DEBW_52210005JLO,DEBW_52210005JLO,exact,2475.178910213154,9244.0,-6768.821089786847,-73.22394082417618,8760,1.187495702182959,2.1249188509945713,-0.3889063237758365,0.8477729945858553,24120.080603723673,27526.9,-3406.819396276329,-12.376327869379875
DEBW_52210005JMk,DEBW_52210005JMk,exact,1664.5541194276843,7301.0,-5636.445880572315,-77.20101192401472,8760,1.2074783247769194,2.1295474821963603,-0.3004457160260658,0.8420497432647897,24403.095527611666,27034.999999999996,-2631.9044723883308,-9.73517467130879
DEBW_52210005JOp,DEBW_52210005JOp,exact,3167.799272892349,8660.0,-5492.200727107651,-63.42033172179735,8760,1.46912085368525,2.7489119680481684,-0.7844436945600491,0.8228936950248186,26709.37323565397,33581.1,-6871.726764346029,-20.46307823253565
DEBW_52210005JfZ,DEBW_52210005JfZ,exact,3425.7578457936847,11148.0,-7722.242154206315,-69.27020231616716,8760,1.7136365671966907,3.0637855645873278,-0.5371306223688066,0.8332941276654042,32906.83574804925,37612.1,-4705.26425195075,-12.509974853705987
DEBW_52210005Jkv,DEBW_52210005Jkv,exact,869.4279265708202,5150.0,-4280.57207342918,-83.11790433843068,8760,1.170125539566937,2.1733271035969857,-0.5855011189697237,0.8261013063866769,22356.310197825223,27485.300000000003,-5128.9898021747795,-18.660847078892274
DEBW_52210005JtI,DEBW_52210005JtI,exact,5084.318133368926,16770.0,-11685.681866631074,-69.68206241282692,8760,2.367314562268242,4.3844417302941485,-1.1093561452512133,0.8276335624462493,44217.940167599365,53935.9,-9717.959832400637,-18.01760948162659
DEBW_52210005K5d,DEBW_52210005K5d,exact,1537.1751417851287,5343.0,-3805.8248582148713,-71.23011151440896,8760,0.9321949918263738,1.62301042275746,-0.1745305533649713,0.8334641577517727,17959.012352522852,19487.9,-1528.8876474771496,-7.845317594390106
DEBW_52210005K93,DEBW_52210005K93,exact,3888.1178420990673,13199.0,-9310.882157900933,-70.5423301606253,8760,1.7854669472289781,3.3000823821275116,-0.851094690742428,0.8330773689286041,33885.81050909633,41341.40000000001,-7455.58949090368,-18.034196933107438
DEBW_52210005KEF,DEBW_52210005KEF,exact,13798.89368818668,41446.0,-27647.10631181332,-66.70633188199903,8760,6.360915196934811,12.12042193207471,-3.5011905500588263,0.8103421012529616,111667.87078148469,142338.3,-30670.429218515303,-21.547559032611254
DEBW_52210005KUx,DEBW_52210005KUx,exact,3313.0117517665317,11277.0,-7963.988248233469,-70.62151501492833,8760,1.573744664653122,2.835472093265526,-0.571297620455782,0.8409959201285875,31015.732844807346,36020.3,-5004.567155192657,-13.893740904969299
DEBW_52210005KXK,DEBW_52210005KXK,exact,1853.0683371521498,5021.0,-3167.93166284785,-63.09363996908684,8760,0.8085168142466125,1.4932697645657416,-0.4058196234427859,0.8347785982197989,15315.320098641198,18870.3,-3554.9799013588017,-18.839021644376622
DEBW_52210005Kf7,DEBW_52210005Kf7,exact,2426.727369792349,9110.0,-6683.272630207652,-73.36193886067674,8760,1.251891675969975,2.1409914042545304,-0.11892197558128136,0.8521261590068755,25641.343493907978,26683.100000000002,-1041.7565060920242,-3.9041809463369104
DEBW_52210005KyO,DEBW_52210005KyO,exact,3566.6681729293327,12027.0,-8460.331827070668,-70.34449012281256,8760,1.7748937756196008,3.1514867249827168,-0.5096783079221777,0.8405500643813273,35067.31802260172,39532.100000000006,-4464.781977398285,-11.29406729568701
DEBW_52210005L39,DEBW_52210005L39,exact,4076.1498654587735,13746.0,-9669.850134541226,-70.34664727587099,8760,1.9954498705476083,3.5291317763722865,-0.530361421721278,0.8346760724315078,38407.6339457216,43053.6,-4645.966054278397,-10.791120961495432
DEBW_52210005L4M,DEBW_52210005L4M,exact,2254.8242920890257,6456.0,-4201.175707910974,-65.07397317086391,8760,1.0482553877140162,1.8554524440039089,-0.29237576265594295,0.8357155667828634,20156.78831913394,22718.0,-2561.211680866061,-11.273931159723837
DEBW_52210005LJS,DEBW_52210005LJS,exact,2772.870689005439,9409.0,-6636.129310994561,-70.52959199696632,8760,1.3182308092421982,2.3552834720622493,-0.389006664272268,0.8306747115256311,25039.10162097493,28446.800000000003,-3407.6983790250742,-11.979197586459897
DEBW_52210005LZh,DEBW_52210005LZh,exact,2689.4057766523206,8856.0,-6166.59422334768,-69.63182275686178,8760,1.3887737854863451,2.46366489416706,-0.39604543637495737,0.8404326691081008,27452.141977355375,30921.5,-3469.3580226446247,-11.219889147177934
DEBW_52210005M2x,DEBW_52210005M2x,exact,3728.806482096381,12640.0,-8911.193517903619,-70.49994871759192,8760,1.7108413347269493,3.1807143070511423,-0.8630850804328151,0.8314826108793782,32165.974695408542,39726.600000000006,-7560.625304591464,-19.03164455199152
DEBW_52210005MRo,DEBW_52210005MRo,exact,2527.341587114637,8410.0,-5882.658412885363,-69.94837589637768,8760,0.7460449856775263,1.3413060735910383,-0.22921481726186815,0.8452913717901838,14753.378200786035,16761.300000000003,-2007.9217992139675,-11.979511131081521
DEBW_52210005MSz,DEBW_52210005MSz,exact,2190.891522049801,8484.0,-6293.108477950199,-74.17619610973831,8760,1.2362020677782186,2.1251720616142675,-0.11864737277384331,0.8199208133575598,22399.34901450113,23438.7,-1039.3509854988697,-4.434337166732241
