GMLId;ParentGMLId;Latitude;Longitude;X-coordinate;Y-coordinate;LOD;Year of construction;Year of refurbishment;Refurbishment Variant;ALKIS code;PrimaryUsageZoneType;PrimaryUsageZoneArea;SecondaryUsageZoneType;SecondaryUsageZoneArea;BuildingType;Footprint area;Total wall thermal area above ground;Total wall thermal area below ground;Total outwall area;Total shared wall area;Total roof area;Gross volume;Is Gross volume approximated?;Heated volume;Ridge/mean Height;Eaves/mean Height;Storey number;Average Storey Height;Number of households;Number of occupants;Attic Heating;Basement Heating;Basement ceiling height above ground;Surface area to volume ratio;Heated area;Mean Uvalue;Specific domestic hot water demand;Domestic hot water demand;Specific space heating demand;Yearly Heating demand;Total Yearly Heating + DHW demand;January Heating demand;February Heating demand;March Heating demand;April Heating demand;May Heating demand;June Heating demand;July Heating demand;August Heating demand;September Heating demand;October Heating demand;November Heating demand;December Heating demand;Specific space Cooling demand;Yearly Cooling demand;January Cooling demand;February Cooling demand;March Cooling demand;April Cooling demand;May Cooling demand;June Cooling demand;July Cooling demand;August Cooling demand;September Cooling demand;October Cooling demand;November Cooling demand;December Cooling demand
[-];[-];[°];[°];[?];[?];LOD;[YYYY];[YYYY];[-];[-];[-];[m²];[-];[m²];[-];[m²];[m²];[m²];[m²];[m²];[m²];[m³];[0/1];[m³];[m];[m];[-];[m];[-];[-];[-];[-];[m];[m⁻¹];[m²];[W/(m²·K)];[kWh/(m²·a)];[kWh/a];[kWh/(m²·a)];[kWh/a];[kWh/a];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh/(m²·a)];[kWh/a];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh]
DEBW_52210005fO0;;48,77067;9,21153;515542,62;5401984,49;LOD_2;1980;;Original;31001_2463;garage;35,1;none;0,0;RH;44,0;60,4;0,0;65,9;15,2;44,2;134,1;false;109,7;3,4;2,76;1;2,5;0;0;NOT_HEATED;NOT_HEATED;0,3;1,148;35,1;0,86;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210005kge;;48,77057;9,20951;515394,07;5401973,18;LOD_2;1980;;Original;31001_2463;garage;57,8;none;0,0;EFH;63,1;86,5;0,0;86,5;0,0;63,3;161,5;false;145,8;2,8;2,29;1;2,3;0;0;NOT_HEATED;NO_ROOM;0,0;1,318;57,8;0,75;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_522100063eT;;48,77075;9,21102;515505,40;5401992,63;LOD_2;1980;;Original;31001_1010;residential;3143,4;none;0,0;MFH;578,5;1614,0;0,0;1614,0;41,9;578,5;8185,4;false;8185,4;14,1;14,15;6;2,4;23;45;NO_ROOM;NO_ROOM;0,0;0,339;3143,4;0,93;15,8;49792,0;57,6;180964;230756;39578;32087;23085;9227;1766;12;0;3;949;10856;26509;36893;12,3;38655;1;4;40;361;2022;9589;14334;9925;2230;141;7;2
DEBW_52210006MeB;;48,77062;9,20900;515357,08;5401978,17;LOD_2;1980;;Original;31001_2463;garage;42,5;none;0,0;EFH;45,7;51,1;0,0;51,1;0,0;45,8;86,0;false;79,5;2,0;1,74;1;1,7;0;0;NOT_HEATED;NO_ROOM;0,0;1,659;42,5;0,71;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210006NG6;;48,77051;9,21015;515441,33;5401965,76;LOD_2;1980;;Original;31001_2463;garage;62,4;none;0,0;EFH;68,6;82,2;0,0;82,2;0,0;68,6;157,2;false;157,2;2,3;2,29;1;2,3;0;0;NO_ROOM;NO_ROOM;0,0;1,396;62,4;0,75;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210006NDa;;48,77081;9,20842;515314,01;5401999,68;LOD_2;1980;;Original;31001_2463;garage;29,5;none;0,0;RH;36,8;45,2;0,0;55,4;20,9;36,8;112,8;false;92,1;3,1;3,06;1;2,5;0;0;NO_ROOM;NOT_HEATED;0,6;1,144;29,5;0,85;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEBW_52210006NNm;;48,77080;9,20883;515344,60;5401997,90;LOD_2;1980;;Original;31001_1010;residential;273,0;none;0,0;RH;104,0;164,0;0,0;167,2;155,8;126,7;866,8;false;853,3;10,1;4,92;4;2,5;3;4;HEATED;NOT_HEATED;0,1;0,459;273,0;0,96;15,8;4325,0;80,9;22103;26428;5099;3992;2639;880;145;1;0;0;83;1195;3310;4759;27,3;7465;1;5;35;194;628;1811;2426;1735;560;65;5;1
DEBW_52210003snr;;48,77342;9,20777;515265,97;5402289,73;LOD_2;1980;;Original;31001_1010;residential;266,4;none;0,0;MFH;96,7;300,3;0,0;336,6;0,0;129,1;929,3;false;832,5;11,6;7,51;4;2,7;2;3;HEATED;NOT_HEATED;1,0;0,605;266,4;0,99;15,8;4220,0;106,8;28452;32672;6530;5139;3386;1141;197;1;0;0;111;1572;4272;6103;33,7;8965;2;8;58;285;799;2154;2898;2003;664;83;8;2
DEBW_52210003qpi;;48,77171;9,21346;515684,34;5402100,76;LOD_2;1980;;Original;31001_1010;residential;568,6;none;0,0;MFH;116,0;446,8;0,0;494,8;6,9;132,0;1892,8;true;1776,7;11,6;8,82;4;2,7;4;5;HEATED;NOT_HEATED;1,0;0,392;568,6;1,03;15,8;9006,0;77,3;43930;52936;9956;7894;5340;1874;332;2;0;0;189;2488;6564;9292;22,0;12518;1;5;41;264;938;3065;4255;2984;874;83;6;1
DEBW_52210003qta;;48,77165;9,21243;515608,69;5402093,43;LOD_2;1980;;Original;31001_1010;residential;219,5;none;0,0;MFH;79,4;229,9;0,0;261,8;30,3;111,0;765,5;false;686,1;12,1;8,07;4;2,8;2;3;HEATED;NOT_HEATED;1,0;0,591;219,5;0,98;15,8;3478,0;105,1;23078;26556;5232;4144;2783;969;171;1;0;0;102;1319;3459;4900;30,0;6593;1;5;35;185;562;1625;2197;1473;451;53;5;1
