Building ID;Primary Usage;Secondary Usage;Other Usages;Air change rate [vol/h];Building Parent ID
DEBW_52210004FbO;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004FbO
DEBW_52210005zo7;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005zo7
DEBW_52210004Fcy;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004Fcy
DEBW_52210004L7q;UsageZoneName [name=residential];No usage;No other usages;0,46;DEBW_52210004L7q
DEBW_52210003v7t;UsageZoneName [name=shed];No usage;No other usages;0,30;DEBW_52210003v7t
DEBW_52210004zEA;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004zEA
DEBW_52210005JLB;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005JLB
DEBW_52210006IuH;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210006IuH
DEBW_52210005KyO;UsageZoneName [name=residential];No usage;No other usages;0,45;DEBW_52210005KyO
DEBW_52220000ZiV;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52220000ZiV
DEBW_52210006IfG;UsageZoneName [name=residential];No usage;No other usages;0,44;DEBW_52210006IfG
DEBW_52210005hAI;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005hAI
DEBW_52210003rDK;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210003rDK
DEBW_52210006KOD;UsageZoneName [name=residential];No usage;No other usages;0,42;DEBW_52210006KOD
DEBW_52210003t13;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210003t13
DEBW_52210006NNo;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210006NNo
DEBW_52210003tdq;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210003tdq
DEBW_52210004xrW;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004xrW
DEBW_52210005h0S;UsageZoneName [name=residential];No usage;No other usages;0,47;DEBW_52210005h0S
DEBW_52210005k6Z;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005k6Z
DEBW_52210006IeY;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210006IeY
DEBW_52210005ylp;UsageZoneName [name=residential];No usage;No other usages;0,43;DEBW_52210005ylp
DEBW_52210003xIr;UsageZoneName [name=residential];No usage;No other usages;0,46;DEBW_52210003xIr
DEBW_52210004ceJ;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004ceJ
DEBW_52210004fgD;UsageZoneName [name=residential];No usage;No other usages;0,43;DEBW_52210004fgD
