Surface ID;Building ID;Surface Type;Surface Construction Type;Window Ratio;Wall area (without window);Window area;Wall U-Value (without window);Window Construction Type;Window U-Value;Building Parent ID
UUID_be07e901-87f0-4cb0-819a-67df418d53af;DEBW_52210004FOx;WALL;199;0,14;61,95;10,08;0,83;;2,57;DEBW_52210004FOx
UUID_8e0efda0-501b-4382-bc85-9b3291731219;DEBW_52210004FOx;WALL;199;0,14;32,47;5,29;0,83;;2,57;DEBW_52210004FOx
UUID_1c2e0d87-072c-4a27-ac22-dd8c659f33a3;DEBW_52210004FOx;ROOF;226;0,10;39,37;4,37;0,43;;2,57;DEBW_52210004FOx
UUID_adccf3ad-49d2-416e-98e2-36b83bb6de3a;DEBW_52210004FOx;WALL;199;0,14;32,26;5,25;0,83;;2,57;DEBW_52210004FOx
UUID_6bc7bf55-5606-49d0-9ec0-c479a1ab3ff9;DEBW_52210004FOx;ROOF;226;0,10;15,90;1,77;0,43;;2,57;DEBW_52210004FOx
UUID_fb30146f-db42-4a4b-b223-979d57f262ec;DEBW_52210004FOx;GROUND;150;0,00;85,42;0,00;0,62;;;DEBW_52210004FOx
UUID_9e5b179c-2b30-4a8f-ab98-44536bdbb370;DEBW_522100060ok;WALL;199;0,27;6,91;2,55;0,83;;2,57;DEBW_522100060ok
UUID_58608069-a6fd-4639-a690-fddc42efc2ac;DEBW_522100060ok;ROOF;226;0,10;17,58;1,95;0,43;;2,57;DEBW_522100060ok
UUID_40d8e643-5758-4f83-a8ff-97339d22595e;DEBW_522100060ok;GROUND;150;0,00;19,52;0,00;0,62;;;DEBW_522100060ok
UUID_c7c83aba-7357-413b-91b9-a30577cd79c3;DEBW_522100060ok;WALL;199;0,27;0,92;0,34;0,83;;2,57;DEBW_522100060ok
UUID_d7e26a5b-4c64-4138-928b-4c64e8507273;DEBW_522100060ok;WALL;199;0,27;6,48;2,39;0,83;;2,57;DEBW_522100060ok
UUID_ce687405-5315-4675-820a-c37ed905b2f9;DEBW_522100060ok;WALL;199;0,27;10,62;3,93;0,83;;2,57;DEBW_522100060ok
UUID_e03207a5-1c1a-403a-949c-ae93c573015f;DEBW_52210006IWU;WALL;199;0,27;8,34;3,09;0,83;;2,57;DEBW_52210006IWU
UUID_6d669017-066a-4fce-ac60-cfb244ce104f;DEBW_52210006IWU;WALL;199;0,27;0,00;0,00;0,83;;2,57;DEBW_52210006IWU
UUID_07cf556d-a909-49ee-938f-27825875ba6e;DEBW_52210006IWU;WALL;199;0,27;1,07;0,40;0,83;;2,57;DEBW_52210006IWU
UUID_2d760751-6c12-40b0-8ba7-4b53f759cfe3;DEBW_52210006IWU;WALL;199;0,27;44,26;16,37;0,83;;2,57;DEBW_52210006IWU
UUID_2fedd810-cacb-4809-b261-fe3d1aa6bb74;DEBW_52210006IWU;GROUND;150;0,00;60,49;0,00;0,62;;;DEBW_52210006IWU
UUID_2d740945-4e15-4446-9f93-886a2dbc3bb2;DEBW_52210006IWU;ROOF;226;0,10;54,44;6,05;0,43;;2,57;DEBW_52210006IWU
UUID_dd087d4a-0330-4c99-a979-eda82f90abb8;DEBW_52210006IWU;WALL;199;0,27;46,84;17,32;0,83;;2,57;DEBW_52210006IWU
