hour,trnsys_heating_demand_kwh_h,trnsys_cooling_demand_kwh_h
4689,0.0,9.273946063383546
4690,0.0,11.122853022422172
4691,0.0,11.450382148329556
4692,0.0,13.603175369427312
4693,0.0,12.42533378896179
4694,0.0,12.033004029421894
4695,0.0,12.448684029681834
4696,0.0,11.96143439868871
4697,0.0,12.049921952521505
4698,0.0,11.087263878097446
4699,0.0,9.507504090824108
4700,0.0,7.950720096400659
4701,0.0,6.394937925311298
4702,0.0,5.227049667541254
4703,0.0,4.306801128491384
4704,0.0,3.62993796892119
4705,0.0,3.0106149952309913
4706,0.0,2.3648911352393203
4707,0.0,1.6512903727278738
4708,0.0,1.055742977397547
4709,0.0,0.7618695911935518
4710,0.0,3.48948314077507
4711,0.0,5.0087299862661805
4712,0.0,7.550064689379369
4713,0.0,9.16555669633834
4714,0.0,9.999545506621239
4715,0.0,11.832269672967232
4716,0.0,12.277963688882622
4717,0.0,11.258419298569514
4718,0.0,11.912261131459156
4719,0.0,12.8485012339972
4720,0.0,13.524483134138695
4721,0.0,11.719675030503454
4722,0.0,10.400762564326051
4723,0.0,8.583616807169932
4724,0.0,6.819729435082037
4725,0.0,5.046472319103147
4726,0.0,3.792188383319533
4727,0.0,3.0022327087007663
4728,0.0,2.5456488956967305
4729,0.0,2.1656540617734974
4730,0.0,1.7053514085934391
4731,0.0,1.1840996583668069
4732,0.0,0.8346410263905191
4733,0.0,0.727927298570802
4734,0.0,0.8998438983882806
4735,0.0,1.2936846671676256
4736,0.0,3.9477053431135816
4737,0.0,7.719783223570484
4738,0.0,8.288239335859954
4739,0.0,9.496710075328098
4740,0.0,10.28454128899454
4741,0.0,11.364519000849452
4742,0.0,10.540150011754182
4743,0.0,12.660937198459708
4744,0.0,10.240998259627668
4745,0.0,9.526929868594888
4746,0.0,8.799907090670288
4747,0.0,7.8117296761012245
4748,0.0,6.6486545323594
4749,0.0,5.322310579317385
4750,0.0,4.335117983124284
4751,0.0,3.4804804854339615
4752,0.0,2.815651926108039
4753,0.0,2.2621202322465415
4754,0.0,1.728612714930641
4755,0.0,1.229230358360348
4756,0.0,0.908380112438115
4757,0.0,0.7542793751834849
4758,0.0,0.7759665729169257
4759,0.0,1.0178683599768716
4760,0.0,2.7423198422840667
4761,0.0,6.679269736209875
4762,0.0,7.643521459981526
4763,0.0,9.373122066258688
4764,0.0,10.607415201753513
4765,0.0,11.797100154292528
4766,0.0,11.314908407884197
4767,0.0,9.748243022247738
4768,0.0,8.719469735019933
4769,0.0,7.445480922864486
4770,0.0,6.179948743292552
4771,0.0,4.665091555168959
4772,0.0,3.1477679190201724
4773,0.0,1.8004917487445344
4774,0.0,0.9496157781670383
4775,0.0,0.67776359431351
4776,0.0,0.5919698921574228
4777,0.0,0.5218191868088049
4778,0.0,0.4235312961896286
4779,0.0,0.2909237936056484
4780,0.0,0.15398344266576
4781,0.0,0.0520277427310955
4782,0.0,0.1587479780664337
4783,0.0,0.3792995567350105
4784,0.0,0.7708595778833761
4785,0.0,1.74869315767727
4786,0.0,2.1176817295143375
4787,0.0,2.24601479661887
4788,0.0,2.1004893623114023
4789,0.0,2.1600292030537895
4790,0.0,3.0878531787859615
4791,0.0,5.543196799327682
4792,0.0,7.198117500811277
4793,0.0,7.4363432913170175
4794,0.0,7.089023084910748
4795,0.0,8.126989563069833
4796,0.0,4.89048671853161
4797,0.0,2.2151549017900836
4798,0.0,0.9512116455349474
4799,0.0,0.4605989404129729
4800,0.0,0.2565198838872392
4801,0.0,0.1690657718252947
4802,0.0,0.122947629205454
4803,0.0,0.0921402359845281
4804,0.0,0.0619650921941825
4805,0.0,0.0028087516320617
4806,0.0,0.0201043063819492
4807,0.0,2.4888608388287845
4808,0.0,3.8313590517145344
4809,0.0,3.6240148868195283
4810,0.0,4.220755587131943
4811,0.0,3.446514146854889
4812,0.0,2.277900669775901
4813,0.0,1.5987585778230602
4814,0.0,1.5234161727398088
4815,0.0,2.0861192555194266
4816,0.0,1.683150074395566
4817,0.0,1.2036931926143735
4818,0.0,0.999512874584527
4819,0.0,0.7806458603368567
4820,0.0,0.5616466072681132
4821,0.0,0.2724886834316647
4822,0.0,0.16065914371004
4823,0.0,0.1015025530315243
4824,0.0,0.0597264934115244
4825,0.0,0.0233738312203382
4826,0.0,0.0
4827,0.0,0.0
4828,0.0,0.0
4829,0.0,0.0
4830,0.0,0.0
4831,0.0,0.0
4832,0.0,0.1123992021494632
4833,0.0,0.40842838187247654
4834,0.0,0.9979200978135729
4835,0.0,1.3521189086260306
4836,0.0,1.5706377393821942
4837,0.0,1.7550404356237979
4838,0.0,2.0716842433155964
4839,0.0,3.558560533171452
4840,0.0,4.688262911393168
4841,0.0,3.1943807756639417
4842,0.0,2.341045862877477
4843,0.0,1.529052992659967
4844,0.0,0.9637533975161204
4845,0.0,0.6123562708826567
4846,0.0,0.47544331137250173
4847,0.0,0.36814331405631995
4848,0.0,0.2452523008691301
4849,0.0,0.1158646631050457
4850,0.0,0.0416727457367556
4851,0.0,0.0
4852,0.0,0.0
4853,0.0,0.0
4854,0.0,0.0
4855,0.0,0.0142470633965988
4856,0.0,0.196444135478426
4857,0.0,0.6941471618297995
4858,0.0,1.7290538242815172
4859,0.0,2.5216436039210386
4860,0.0,2.954205123192005
4861,0.0,3.021145294442281
4862,0.0,3.1157477207244018
4863,0.0,6.137277446693859
4864,0.0,5.867812332994331
4865,0.0,4.65664519490649
4866,0.0,5.805150026012973
4867,0.0,4.819638105650301
4868,0.0,3.929200243899484
4869,0.0,1.7932010405576229
4870,0.0,1.0056645272937588
4871,0.0,0.576554313977936
4872,0.0,0.2508659786844428
4873,0.0,0.1025880371160342
4874,0.0,0.034433622125216
4875,0.0,0.0150998718137674
4876,0.0,0.0
4877,0.0,0.0
4878,0.0,1.1888889762192005
4879,0.0,2.459805112175519
4880,0.0,4.094274257016093
4881,0.0,5.717473545526865
4882,0.0,6.875735354077786
4883,0.0,7.654418590271493
4884,0.0,7.814585999120391
4885,0.0,8.19445018725729
4886,0.0,9.813261661994959
4887,0.0,10.909727313902305
4888,0.0,11.981503462877559
4889,0.0,12.168086297773108
4890,0.0,12.603729067499314
4891,0.0,12.144515523712302
4892,0.0,9.639874292704189
4893,0.0,6.56535902258683
4894,0.0,5.12456199912212
4895,0.0,3.831763316161475
4896,0.0,2.64764827459116
4897,0.0,1.856979102683092
4898,0.0,1.35412858184465
4899,0.0,1.1130803549710737
4900,0.0,0.9922881098775944
4901,0.0,1.0017140699074905
4902,0.0,1.2318400919162942
4903,0.0,1.5154523907709518
4904,0.0,1.60348190708212
4905,0.0,1.831514617279018
4906,0.0,2.0446728278889594
4907,0.0,3.0560327595353898
4908,0.0,3.4603223439752524
4909,0.0,4.019443821910658
4910,0.0,4.6989402348149945
4911,0.0,6.871951492733407
4912,0.0,7.820215523619643
4913,0.0,9.515775500012833
4914,0.0,7.577361752643304
4915,0.0,8.234226674583455
4916,0.0,6.401559237852004
4917,0.0,2.6990845024976844
4918,0.0,1.4476456106133506
