hour,rc_heating_demand_kwh_h,simstadt_heating_demand_kwh_h,diff_heating_kwh_h
7922,386.8760944074525,408.69999999999993,-21.82390559254742
7923,405.4101023383993,417.2999999999997,-11.8898976616004
7924,422.8035725780867,425.29999999999967,-2.4964274219129834
7925,470.2953331772123,458.60000000000025,11.695333177212035
7926,492.1064530513297,468.5,23.60645305132971
7927,513.0410390666547,479.2000000000003,33.84103906665439
7928,541.8583157241677,496.2999999999999,45.55831572416781
7929,519.8723319481243,475.5,44.37233194812427
7930,455.9420856227457,455.7000000000003,0.2420856227454351
7931,343.52024032241496,419.3999999999997,-75.87975967758473
7932,204.459874933708,382.0999999999999,-177.64012506629192
7933,82.304755416235,352.20000000000005,-269.895244583765
7934,48.28182587248471,362.2999999999999,-314.0181741275152
7935,15.670872964144584,355.2999999999999,-339.62912703585533
7936,14.575720565307185,356.59999999999997,-342.0242794346928
7937,54.44787209884079,365.0999999999999,-310.65212790115913
7938,146.29038862371422,391.8000000000001,-245.5096113762859
7939,189.28007277283763,381.0999999999999,-191.81992722716228
7940,253.02760182105183,398.7000000000002,-145.67239817894838
7941,296.3137110470304,405.1,-108.78628895296964
7942,367.39213699614766,441.20000000000005,-73.80786300385239
7943,389.9312454049786,437.5999999999999,-47.66875459502131
7944,446.637313149299,468.4,-21.76268685070096
7945,501.5687130565152,498.1999999999999,3.3687130565153325
7946,527.134827052603,504.10000000000014,23.03482705260285
7947,556.6503642973877,515.9,40.750364297387705
7948,580.0199112060749,524.2,55.819911206074835
7949,620.9541160940873,549.0000000000002,71.95411609408711
7950,650.4083144271599,563.4000000000001,87.0083144271598
7951,657.6608074925247,560.9000000000001,96.76080749252458
7952,657.79148433365,554.4000000000002,103.39148433364983
7953,659.9142216314584,555.3000000000001,104.61422163145835
7954,595.5266446354793,533.9999999999999,61.52664463547944
7955,486.8746044268659,496.9999999999999,-10.125395573133972
7956,374.12902716000696,471.0,-96.87097283999304
7957,250.89835531543568,441.20000000000005,-190.30164468456437
7958,122.2449863755124,409.59999999999985,-287.35501362448747
7959,61.88534386797188,402.2000000000001,-340.31465613202823
7960,71.49868261413336,410.79999999999984,-339.30131738586647
7961,141.07705869443078,426.7999999999996,-285.72294130556884
7962,249.6381667708977,460.0000000000002,-210.36183322910253
7963,319.5016763447016,467.00000000000006,-147.49832365529846
7964,376.9241830353537,475.29999999999995,-98.37581696464628
7965,404.7636327541016,467.00000000000006,-62.236367245898464
7966,442.28777569613055,474.59999999999997,-32.312224303869414
7967,453.7585506336992,465.7,-11.941449366300787
7968,474.4795894204266,469.7,4.779589420426589
7969,526.5933898789895,501.5,25.093389878989456
7970,557.2754269449571,515.1,42.17542694495705
7971,574.4162320155943,519.9000000000001,54.516232015594255
7972,605.1078086972066,535.8999999999999,69.2078086972067
7973,632.8956140601903,550.3000000000003,82.59561406018997
7974,624.4829513160208,535.7999999999998,88.68295131602099
7975,638.472895460759,542.9000000000001,95.5728954607589
7976,645.8884316944392,544.7000000000002,101.18843169443903
7977,622.1639989225746,524.9,97.26399892257461
7978,543.7086140319965,497.6999999999999,46.008614031996615
7979,379.0348747810053,435.1,-56.065125218994694
7980,213.43509614472413,394.20000000000005,-180.76490385527592
7981,66.07306934615414,358.79999999999995,-292.7269306538458
7982,7.434849302487629,342.2000000000001,-334.76515069751247
7983,3.4393167014615385,358.0999999999999,-354.66068329853834
7984,12.17796191123074,388.20000000000005,-376.0220380887693
7985,48.97226952636306,396.70000000000016,-347.7277304736371
7986,164.2836386518772,432.49999999999983,-268.21636134812263
7987,274.7858236918788,466.09999999999997,-191.31417630812115
7988,352.87722693816045,483.20000000000016,-130.3227730618397
7989,429.170901212581,506.8,-77.62909878741903
7990,516.1494700915082,547.2,-31.050529908491853
7991,554.9093408979793,549.9000000000002,5.0093408979790865
7992,612.7869819751675,574.4999999999995,38.28698197516792
7993,649.6630169165915,585.8,63.863016916591505
7994,673.3570890838035,588.3999999999999,84.95708908380368
7995,692.4890603512565,590.5999999999998,101.88906035125672
7996,743.3792445820112,622.6000000000001,120.77924458201107
7997,760.4173161741098,625.8000000000001,134.61731617410976
7998,792.1944733899313,641.7,150.49447338993127
7999,827.5587180248504,662.9000000000004,164.65871802484992
8000,852.591635258697,673.9,178.69163525869703
8001,838.9415902243377,655.8000000000002,183.1415902243375
8002,773.539530854486,633.3,140.23953085448602
8003,661.2409637701192,604.1000000000001,57.140963770119015
8004,512.672366120112,563.7,-51.02763387988807
8005,389.13555233207336,549.2000000000003,-160.0644476679269
8006,281.8169413095533,526.6999999999999,-244.88305869044666
8007,272.70853528367314,545.6999999999999,-272.9914647163268
8008,315.4145923470376,571.0999999999999,-255.68540765296228
8009,395.1216900925147,588.8999999999999,-193.77830990748515
8010,524.526146096492,632.8999999999999,-108.3738539035079
8011,648.2258263618155,677.2000000000002,-28.974173638184652
8012,710.6718549197983,681.5000000000001,29.171854919798193
8013,766.5885925144362,689.5,77.08859251443619
8014,844.6518474839368,723.9000000000002,120.75184748393656
