hour,rc_heating_demand_kwh_h,simstadt_heating_demand_kwh_h,diff_heating_kwh_h
1460,348.5856114886534,371.6000000000001,-23.01438851134668
1461,413.29994019180754,380.1,33.199940191807514
1462,490.9003957610377,395.6999999999999,95.20039576103784
1463,558.0524022510037,409.7999999999998,148.25240225100396
1464,625.535155241524,423.30000000000007,202.2351552415239
1465,691.7087345951544,438.7000000000001,253.0087345951543
1466,726.6383945657169,439.30000000000007,287.33839456571684
1467,760.6736003021065,441.5,319.1736003021065
1468,778.5236913085753,436.4000000000001,342.1236913085752
1469,814.0754739420206,442.2,371.8754739420206
1470,839.8089706221463,444.3,395.50897062214625
1471,871.7011960437318,450.1,421.60119604373176
1472,884.4408613859856,447.3000000000001,437.1408613859855
1473,896.3739715285485,452.20000000000005,444.17397152854846
1474,867.2005583897618,442.2,425.0005583897618
1475,838.3981128861328,428.9000000000001,409.49811288613273
1476,810.1448750466687,426.1000000000001,384.04487504666866
1477,785.5098455035661,422.6,362.9098455035661
1478,781.2661312525283,433.40000000000015,347.8661312525282
1479,736.226396093368,432.0000000000001,304.22639609336784
1480,722.5061360365738,433.90000000000015,288.6061360365737
1481,747.9461974108162,452.80000000000007,295.14619741081617
1482,783.2651741762973,453.50000000000006,329.7651741762972
1483,811.026717067111,452.50000000000006,358.52671706711095
1484,824.6854197780035,446.50000000000006,378.18541977800345
1485,856.6592898295335,451.6,405.05928982953344
1486,889.4209757403852,457.6,431.82097574038517
1487,912.7687042637984,459.4,453.36870426379846
1488,905.7524042000356,447.40000000000015,458.35240420003544
1489,912.6107474664266,444.0,468.6107474664266
1490,915.3595907503826,439.1000000000001,476.25959075038253
1491,936.6615731364004,445.10000000000014,491.5615731364003
1492,926.9549201435552,435.00000000000006,491.95492014355517
1493,947.936196168961,441.5,506.43619616896103
1494,950.3452281846309,438.7000000000001,511.64522818463075
1495,941.890001523375,431.10000000000014,510.7900015233748
1496,932.3368194432044,423.40000000000003,508.93681944320434
1497,895.4328068348952,410.09999999999974,485.3328068348955
1498,801.5265143328261,391.1999999999998,410.32651433282626
1499,677.9283393992631,363.30000000000007,314.62833939926304
1500,539.4723814172156,344.90000000000003,194.57238141721558
1501,386.2733143167414,317.69999999999993,68.57331431674146
1502,274.6450363545805,303.6000000000002,-28.954963645419696
1503,245.64656668900764,307.3000000000002,-61.65343331099254
1504,289.50498317283206,314.09999999999997,-24.59501682716791
1505,324.00362979681427,342.09999999999997,-18.0963702031857
1506,378.7942681674757,361.6,17.194268167475684
1507,456.0559763389391,375.5999999999999,80.4559763389392
1508,544.0970129074171,399.70000000000005,144.3970129074171
1509,578.3368932173304,397.7999999999999,180.5368932173305
1510,634.4091623118601,409.8999999999998,224.50916231186028
1511,684.0061423903309,419.2,264.8061423903309
1512,702.3252309065144,414.49999999999994,287.8252309065145
1513,778.8107121228771,439.4000000000001,339.41071212287704
1514,819.5835541932701,447.80000000000007,371.78355419327
1515,840.8425819401142,446.80000000000007,394.04258194011413
1516,844.1201332952829,437.90000000000015,406.2201332952828
1517,840.1763351828336,426.80000000000007,413.3763351828335
1518,842.2982348469861,420.90000000000003,421.3982348469861
1519,849.7685276381309,418.9000000000001,430.8685276381308
1520,829.3384098408088,403.8999999999998,425.438409840809
1521,795.0208425150938,392.99999999999994,402.0208425150939
1522,753.974474854532,380.1,373.87447485453197
1523,666.8172562518289,357.8000000000003,309.0172562518286
1524,530.5292038329158,333.7999999999997,196.72920383291603
1525,417.51117482542713,318.2999999999999,99.21117482542724
1526,324.8754328439071,313.30000000000007,11.575432843907038
1527,308.8284477520233,308.0000000000001,0.8284477520231803
1528,278.88260676832675,311.5000000000001,-32.61739323167336
1529,306.81179722976304,310.90000000000015,-4.088202770237103
1530,345.90008603260594,326.69999999999965,19.200086032606293
1531,372.1174281494899,320.9999999999998,51.11742814949014
1532,385.4021621333,312.8000000000001,72.60216213329988
1533,410.0845576084085,311.3000000000001,98.78455760840836
1534,435.6567916532761,313.30000000000007,122.35679165327605
1535,447.57094378850974,307.70000000000016,139.87094378850958
1536,471.46383606156286,310.7000000000001,160.76383606156276
1537,497.1003478709,315.09999999999997,182.00034787090004
1538,493.5950833384112,305.90000000000026,187.69508333841094
1539,529.2639529351668,317.69999999999993,211.56395293516687
1540,568.174350641626,330.19999999999965,237.97435064162636
1541,585.6780936619582,332.09999999999974,253.57809366195846
1542,620.17111881014,344.20000000000005,275.97111881013996
1543,623.0292708904794,340.6000000000001,282.42927089047936
1544,608.2977046517519,328.8999999999996,279.39770465175235
1545,571.8449054186166,320.89999999999975,250.94490541861683
1546,523.1170645925796,311.3000000000001,211.81706459257947
1547,394.37803618050543,279.1,115.27803618050541
1548,294.34158955041187,272.80000000000024,21.54158955041163
1549,197.2091322385812,260.5,-63.29086776141881
1550,119.27727452500586,256.9,-137.62272547499413
1551,77.72049408991079,237.10000000000002,-159.37950591008922
1552,82.84048645850406,254.29999999999993,-171.45951354149588
1553,111.57741788791124,266.0000000000002,-154.422582112089
1554,153.73258182206538,277.10000000000014,-123.36741817793475
1555,250.8793028307861,305.8000000000003,-54.92069716921421
1556,296.03461060591394,308.2000000000001,-12.165389394086162
1557,342.6261549641806,314.7,27.926154964180625
1558,364.3267194636559,309.40000000000015,54.92671946365573
1559,408.88261579043774,318.39999999999986,90.48261579043788
1560,437.0798200811776,319.7999999999998,117.27982008117783
1561,488.2910783685404,332.7999999999997,155.49107836854068
1562,496.381469218065,327.39999999999964,168.98146921806534
1563,496.1423843164708,317.59999999999997,178.54238431647082
1564,499.2948551450752,310.7000000000001,188.5948551450751
1565,503.85980449617927,306.10000000000025,197.75980449617902
1566,526.8453911220868,312.4000000000001,214.44539112208668
1567,545.8030711288955,315.79999999999995,230.0030711288955
1568,543.6293162898062,309.9000000000001,233.7293162898061
1569,559.5781400673868,317.69999999999993,241.87814006738688
1570,558.265652898862,317.59999999999997,240.665652898862
1571,520.076313724704,315.09999999999997,204.97631372470408
1572,444.022279443362,300.3000000000001,143.72227944336186
1573,419.474758884581,293.2000000000001,126.27475888458088
1574,335.4412490920381,275.90000000000015,59.54124909203796
1575,300.7624993909504,271.2000000000001,29.56249939095028
1576,315.23421567266047,275.70000000000016,39.53421567266031
1577,300.6445996192305,261.1,39.544599619230496
1578,307.5459935523253,262.8000000000001,44.74599355232516
1579,333.4848343087987,265.80000000000024,67.68483430879849
1580,361.351451774794,271.40000000000015,89.95145177479384
1581,393.48893430686223,278.40000000000003,115.0889343068622
1582,400.3672810535096,275.6000000000002,124.76728105350941
1583,416.9294145329693,276.70000000000016,140.22941453296914
1584,420.2855139266876,273.2000000000002,147.08551392668738
1585,441.5481391657555,277.8000000000001,163.7481391657554
1586,498.1007417332802,302.30000000000024,195.80074173327995
1587,514.3248331360926,304.60000000000025,209.72483313609234
1588,537.5687506926556,310.90000000000015,226.66875069265546
1589,546.1334072364027,310.5000000000001,235.6334072364026
1590,566.0361222219449,315.9,250.1361222219449
1591,570.1886059100524,314.09999999999997,256.0886059100524
1592,574.0226217539757,314.09999999999997,259.92262175397576
1593,562.955099666098,321.5999999999998,241.35509966609823
1594,490.7695976462854,314.40000000000003,176.36959764628534
1595,380.8269306926318,299.6000000000001,81.2269306926317
1596,296.9929913188857,287.70000000000005,9.29299131888564
1597,202.13012968595007,272.60000000000025,-70.46987031405018
1598,156.02120528818168,274.90000000000015,-118.87879471181847
1599,84.7026388138963,266.50000000000017,-181.79736118610387
1600,73.88752766944488,275.70000000000016,-201.8124723305553
1601,99.4860190958414,283.1000000000001,-183.61398090415867
1602,196.5391648660992,308.7000000000001,-112.16083513390089
1603,256.0712268154403,318.1999999999999,-62.12877318455958
1604,336.67134085779696,336.2999999999999,0.3713408577970654
1605,395.7792117719615,346.80000000000007,48.979211771961445
1606,453.6272944095515,358.3000000000001,95.32729440955137
1607,519.3121062092263,372.9000000000001,146.41210620922618
1608,611.7428612593111,404.7999999999997,206.94286125931137
1609,670.1354871508007,418.10000000000014,252.03548715080058
1610,705.1645522793484,420.4000000000001,284.7645522793483
1611,746.0280452802033,427.3000000000001,318.72804528020316
1612,765.6291557651699,424.30000000000007,341.32915576516984
1613,785.7715652468319,423.70000000000005,362.0715652468318
1614,791.5054071807052,418.0000000000001,373.5054071807051
1615,814.8237947592856,420.90000000000003,393.9237947592856
1616,807.3192625792406,412.09999999999985,395.2192625792407
1617,760.8942683032094,404.2999999999997,356.5942683032097
1618,652.2371264898508,372.0000000000001,280.23712648985065
1619,535.9493749078987,353.9000000000001,182.0493749078986
1620,371.0930367826317,317.29999999999995,53.79303678263176
1621,225.95039937767567,283.6000000000001,-57.649600622324414
1622,93.8324132188266,260.6,-166.7675867811734
1623,28.0829787929902,245.19999999999993,-217.11702120700974
1624,16.65731097590687,250.29999999999993,-233.64268902409304
1625,18.590670142823004,261.5000000000001,-242.9093298571771
1626,51.64266798998688,288.5999999999999,-236.95733201001303
1627,143.17725430918077,315.59999999999997,-172.4227456908192
1628,227.8662067295409,330.79999999999967,-102.93379327045878
1629,287.6238750015221,336.1999999999999,-48.57612499847778
1630,353.25673594343385,347.6000000000001,5.656735943433773
1631,413.0254401839109,357.5000000000003,55.52544018391063
1632,475.9783044769932,369.8000000000002,106.17830447699299
1633,511.1775777810575,370.3000000000001,140.87757778105737
1634,563.3880593570514,380.40000000000003,182.98805935705133
1635,597.2029060246679,383.5,213.70290602466787
1636,628.9544448371328,386.89999999999986,242.0544448371329
1637,687.9661864760627,403.9999999999998,283.96618647606294
1638,706.8016583209602,401.69999999999993,305.10165832096027
1639,733.1528004715974,404.8999999999997,328.2528004715977
1640,740.2212426550134,402.09999999999997,338.1212426550134
1641,686.2917967368531,387.6999999999999,298.59179673685327
1642,532.6503453876098,341.00000000000006,191.65034538760978
1643,403.9846150236331,311.5000000000001,92.48461502363301
1644,247.36754715318287,276.00000000000017,-28.6324528468173
1645,98.15939727187931,248.59999999999997,-150.44060272812067
1646,22.247961079730917,234.40000000000006,-212.15203892026915
1647,4.417864154616313,225.70000000000007,-221.28213584538375
1648,0.7318272633295188,224.2000000000001,-223.4681727366706
1649,0.8740645828818535,234.00000000000006,-233.1259354171182
1650,6.883554898274453,256.9,-250.01644510172554
1651,35.823563974811286,281.30000000000007,-245.47643602518878
1652,91.01966649776772,292.90000000000003,-201.8803335022323
1653,171.33268549511774,308.8000000000001,-137.46731450488238
1654,224.23376824287803,313.30000000000007,-89.06623175712204
1655,267.5794023268864,313.30000000000007,-45.72059767311367
1656,341.8952263642618,330.3999999999997,11.495226364262123
1657,391.0934984629577,336.4999999999999,54.593498462957825
1658,444.97738882391496,347.4000000000001,97.57738882391487
1659,481.01381547929753,349.70000000000005,131.3138154792975
1660,507.82754208651295,349.3,158.52754208651294
1661,536.8963491834434,351.1,185.79634918344334
1662,559.7725258325014,351.3,208.4725258325014
1663,579.155755896897,351.0,228.15575589689695
1664,590.9510096453223,352.5,238.4510096453223
1665,538.2327364082481,333.69999999999976,204.53273640824835
1666,462.0123387634823,326.5999999999996,135.4123387634827
1667,361.4100908627397,308.60000000000014,52.81009086273957
1668,193.1412730026708,265.80000000000024,-72.65872699732944
1669,63.43094716136822,243.79999999999998,-180.36905283863177
1670,7.056548388924746,219.00000000000006,-211.94345161107532
1671,0.0,206.99999999999986,-206.99999999999986
1672,0.0,209.1999999999999,-209.1999999999999
1673,0.0,224.60000000000008,-224.60000000000008
1674,0.9903069679271644,246.59999999999994,-245.60969303207278
1675,10.13502729627107,269.60000000000014,-259.4649727037291
1676,32.551018313381846,279.4000000000001,-246.84898168661823
1677,96.43479039110122,298.9000000000001,-202.46520960889887
1678,172.26856874114034,312.9000000000001,-140.63143125885975
1679,240.1090481008476,322.7999999999997,-82.69095189915214
1680,299.7834547113935,329.99999999999966,-30.21654528860614
1681,371.30736217680726,346.00000000000006,25.307362176807203
1682,408.6051597282031,345.6000000000001,63.00515972820301
1683,436.9261352917774,342.79999999999995,94.12613529177747
1684,465.5117627243968,342.3999999999999,123.1117627243969
1685,509.02412327291154,349.8,159.22412327291153
1686,533.2383304945726,349.40000000000003,183.83833049457252
1687,522.0213532433224,332.09999999999974,189.9213532433227
1688,534.0353686899767,333.7999999999997,200.235368689977
1689,512.1042029238872,328.29999999999967,183.80420292388754
1690,406.7334054208813,306.5000000000002,100.23340542088107
1691,257.0655499651264,266.50000000000017,-9.434450034873748
1692,94.03627003136776,230.00000000000009,-135.96372996863232
1693,16.321773160816107,211.19999999999993,-194.8782268391838
1694,0.0,191.49999999999986,-191.49999999999986
1695,0.0,172.0,-172.0
1696,0.0,166.79999999999998,-166.79999999999998
1697,0.0,170.10000000000002,-170.10000000000002
1698,0.0,192.49999999999983,-192.49999999999983
1699,0.0,209.2999999999999,-209.2999999999999
1700,0.0,209.5999999999999,-209.5999999999999
1701,0.0,212.29999999999998,-212.29999999999998
1702,0.9625400168768012,224.70000000000007,-223.73745998312327
1703,4.437313982238278,228.90000000000003,-224.46268601776177
1704,18.2988563721694,236.9,-218.6011436278306
1705,42.06193312401842,241.09999999999997,-199.03806687598154
1706,74.38352408080132,241.59999999999997,-167.21647591919864
1707,91.55524170908916,233.10000000000005,-141.5447582909109
1708,108.90602645985231,226.30000000000007,-117.39397354014775
1709,117.1380382906591,216.10000000000005,-98.96196170934095
1710,156.07355791153142,224.90000000000006,-68.82644208846864
1711,165.06984281569945,218.20000000000007,-53.13015718430063
1712,169.43977797969995,212.9,-43.46022202030005
1713,138.99084621249094,196.19999999999982,-57.20915378750888
1714,86.59066084409247,186.19999999999993,-99.60933915590746
1715,40.39917178960727,170.4,-130.00082821039274
1716,0.551789920015907,155.40000000000003,-154.8482100799841
1717,0.0,139.09999999999997,-139.09999999999997
1718,0.0,134.59999999999997,-134.59999999999997
1719,0.0,117.80000000000005,-117.80000000000005
1720,0.0,101.89999999999998,-101.89999999999998
1721,0.0,123.30000000000001,-123.30000000000001
1722,0.0,140.20000000000002,-140.20000000000002
1723,0.0,161.0999999999999,-161.0999999999999
1724,0.0,177.4,-177.4
1725,0.0,189.59999999999988,-189.59999999999988
1726,0.0,193.59999999999982,-193.59999999999982
1727,0.0,190.09999999999988,-190.09999999999988
1728,0.0,192.39999999999984,-192.39999999999984
1729,0.0,186.79999999999995,-186.79999999999995
1730,0.0,186.69999999999996,-186.69999999999996
1731,0.2126499427553007,189.7999999999999,-189.5873500572446
1732,1.3071925210357147,192.59999999999982,-191.2928074789641
1733,5.387483469179064,198.29999999999976,-192.91251653082068
1734,24.713315098390638,212.7,-187.98668490160935
1735,50.054384862872425,216.80000000000007,-166.74561513712763
1736,69.10139907175417,215.00000000000009,-145.8986009282459
1737,32.66911372767285,191.89999999999986,-159.230886272327
1738,2.7446548692541213,181.6,-178.85534513074586
1739,0.0,159.29999999999995,-159.29999999999995
1740,0.0,159.29999999999995,-159.29999999999995
1741,0.0,144.1,-144.1
1742,0.0,125.49999999999999,-125.49999999999999
1743,0.0,126.39999999999999,-126.39999999999999
1744,0.0,132.19999999999996,-132.19999999999996
1745,0.0,138.79999999999995,-138.79999999999995
1746,0.0,147.29999999999998,-147.29999999999998
1747,0.0,159.19999999999993,-159.19999999999993
1748,0.0,181.49999999999997,-181.49999999999997
1749,0.0,191.49999999999986,-191.49999999999986
1750,0.0,214.80000000000007,-214.80000000000007
