hour,rc_heating_demand_kwh_h,simstadt_heating_demand_kwh_h,diff_heating_kwh_h
1229,902.7495185543568,2061.6999999999994,-1158.9504814456427
1230,967.7433401836678,1997.5999999999988,-1029.856659816331
1231,1045.3390648592156,1983.9,-938.5609351407845
1232,3417.0089729587044,2360.9999999999986,1056.0089729587057
1233,3316.183058718745,2327.799999999999,988.3830587187463
1234,3164.209288061991,2232.4,931.8092880619911
1235,3033.514858239024,2131.8,901.7148582390237
1236,2944.741657397288,2114.1000000000004,830.6416573972874
1237,2809.341394320564,2068.3999999999987,740.9413943205655
1238,2659.0560046788937,1954.4999999999993,704.5560046788944
1239,2541.723694789662,1945.1999999999998,596.5236947896624
1240,2465.0953936191568,1902.4000000000008,562.695393619156
1241,2400.908853988208,1890.299999999999,510.60885398820915
1242,2337.935111204721,1853.4999999999989,484.43511120472226
1243,2273.555569293219,1795.5000000000007,478.05556929321824
1244,2206.4841237020837,1739.7,466.78412370208366
1245,2161.903131853922,1732.599999999999,429.3031318539229
1246,2073.4012316581466,1621.6999999999998,451.70123165814675
1247,2018.5658426026584,1592.8999999999996,425.6658426026588
1248,1964.500573408783,1561.9999999999986,402.5005734087845
1249,0.0867212449753027,1066.3000000000004,-1066.2132787550252
1250,0.9056545190692638,1114.6999999999994,-1113.7943454809301
1251,7.902685785360807,1102.4000000000003,-1094.4973142146396
1252,18.946077208165143,1071.9000000000003,-1052.953922791835
1253,41.74782126438641,1071.1000000000001,-1029.3521787356137
1254,84.48362342385647,1099.9000000000005,-1015.4163765761441
1255,136.64162284064193,1115.5999999999995,-978.9583771593575
1256,2474.683484510414,1548.9000000000005,925.7834845104135
1257,2329.6759997308754,1463.0000000000005,866.675999730875
1258,2147.4239633252355,1302.7999999999997,844.6239633252358
1259,1957.426527500348,1261.5000000000005,695.9265275003474
1260,1721.181840549437,1108.5000000000002,612.6818405494369
1261,1526.9374105774598,1065.8000000000004,461.1374105774594
1262,1383.3314543581337,1080.0,303.33145435813367
1263,1269.128398864602,1034.8999999999999,234.22839886460224
1264,1267.9260594485393,1132.1,135.82605944853935
1265,1214.778981965582,1167.5999999999997,47.17898196558235
1266,1224.4867311866724,1189.2000000000005,35.28673118667189
1267,1272.9298801713223,1314.0,-41.07011982867766
1268,1276.160224649012,1331.000000000001,-54.83977535098893
1269,1295.5497861567349,1379.1000000000004,-83.55021384326551
1270,1329.9652088485943,1452.9000000000005,-122.93479115140622
1271,1358.903561906052,1507.9999999999995,-149.09643809394765
1272,1386.135399803637,1551.8000000000004,-165.66460019636338
1273,0.0,1133.8,-1133.8
1274,0.0,1163.7999999999997,-1163.7999999999997
1275,0.0,1191.4000000000005,-1191.4000000000005
1276,0.1275084985099237,1170.0999999999997,-1169.9724915014897
1277,0.8441842565298153,1206.7999999999995,-1205.9558157434697
1278,5.813170934032179,1250.1000000000001,-1244.286829065968
1279,15.633938638682247,1242.0,-1226.3660613613179
1280,2169.0866438117014,1729.4999999999995,439.58664381170183
1281,2094.1399413732997,1699.2000000000007,394.939941373299
1282,1984.7454456292355,1668.9000000000003,315.8454456292352
1283,1829.7977165994628,1525.8000000000006,303.99771659946214
1284,1642.8871651423174,1441.0000000000007,201.8871651423167
1285,1477.7393857099394,1406.2999999999995,71.43938570993987
1286,1336.2657119111475,1351.1000000000001,-14.834288088852645
1287,1238.1192129982076,1275.0999999999988,-36.980787001791214
1288,1193.2735159791157,1279.8999999999987,-86.62648402088303
1289,1167.0865073335806,1353.3000000000004,-186.21349266641982
1290,1207.7612497720029,1438.1,-230.33875022799702
1291,1281.8179660019769,1546.2000000000003,-264.3820339980234
1292,1287.027926842558,1521.4,-234.37207315744217
1293,1318.8451506656131,1561.199999999999,-242.3548493343858
1294,1358.4512320200815,1615.0000000000007,-256.54876797991915
1295,1362.114676607994,1586.2000000000003,-224.08532339200633
1296,1404.3158253083125,1647.6,-243.28417469168744
1297,0.0,1226.1999999999998,-1226.1999999999998
1298,0.0,1278.8999999999987,-1278.8999999999987
1299,0.1024646321035692,1311.8,-1311.6975353678963
1300,1.8763384640412075,1449.4000000000005,-1447.5236615359593
1301,11.635553944019094,1484.9999999999995,-1473.3644460559804
1302,35.22948915997467,1546.2000000000003,-1510.9705108400256
1303,85.33955482490992,1578.8000000000002,-1493.4604451750902
1304,2410.9338625393343,2036.4999999999993,374.433862539335
1305,2334.481753858826,2011.499999999999,322.9817538588268
1306,2191.2725051643906,1902.1000000000008,289.1725051643898
1307,2035.26891670136,1784.6000000000008,250.6689167013592
1308,1856.920552598635,1698.3,158.62055259863496
1309,1702.2154318932403,1642.1000000000001,60.11543189324016
1310,1548.1632238406846,1578.8000000000002,-30.63677615931556
1311,1416.9372532215605,1520.3000000000002,-103.36274677843971
