hour,rc_heating_demand_kwh_h,simstadt_heating_demand_kwh_h,diff_kwh_h
7980,541.9046848356751,427.49999999999966,114.40468483567543
7981,371.2690500546403,389.6000000000001,-18.330949945359805
7982,241.44893351370857,370.9,-129.4510664862914
7983,190.16183223234182,389.50000000000006,-199.33816776765823
7984,203.45693515524363,420.69999999999976,-217.24306484475613
7985,234.37469290545658,430.7999999999998,-196.4253070945432
7986,304.0456983518405,469.19999999999993,-165.15430164815945
7987,371.3262982608205,505.70000000000005,-134.37370173917952
7988,416.4590224578244,524.3000000000001,-107.84097754217566
7989,468.21256466863986,551.5000000000002,-83.28743533136037
7990,536.496291404258,592.9999999999998,-56.50370859574173
7991,561.4404130446773,596.5999999999998,-35.15958695532254
7992,609.5822991794151,624.9000000000001,-15.317700820584946
7993,0.0,498.7999999999999,-498.7999999999999
7994,0.0,501.4,-501.4
7995,0.0,504.2000000000001,-504.2000000000001
7996,0.0,538.7999999999998,-538.7999999999998
7997,0.0,541.8999999999999,-541.8999999999999
7998,0.0,560.2000000000002,-560.2000000000002
7999,0.4513788104124808,582.6999999999999,-582.2486211895874
8000,1521.1644697594043,731.5999999999998,789.5644697594045
8001,1396.384846218659,711.9000000000002,684.4848462186588
8002,1247.1483603328559,688.0000000000002,559.1483603328556
8003,1077.6562921007408,655.8000000000002,421.8562921007406
8004,889.5381688186702,612.2999999999998,277.2381688186704
8005,735.4859063905354,595.9999999999998,139.48590639053566
8006,598.1181911701879,572.6999999999999,25.418191170187924
8007,552.0167631464523,592.0999999999998,-40.08323685354753
8008,549.6864926998264,620.3000000000001,-70.61350730017364
8009,579.3837114347727,639.7,-60.316288565227296
8010,657.9925153728072,686.8000000000003,-28.80748462719305
8011,738.6561019068845,736.1999999999997,2.4561019068847827
8012,769.0702647390597,739.9999999999995,29.07026473906012
8013,801.9901256973845,748.0999999999996,53.890125697384974
8014,863.0135839565852,786.9000000000002,76.11358395658499
8015,903.80119196036,805.8000000000002,98.00119196035985
8016,933.5090750615379,815.5999999999998,117.90907506153815
8017,0.0,773.8000000000001,-773.8000000000001
8018,0.0,780.0999999999999,-780.0999999999999
8019,0.0,798.3000000000005,-798.3000000000005
8020,0.0,785.5999999999999,-785.5999999999999
8021,0.417371383033199,807.2000000000004,-806.7826286169671
8022,1.043572365488554,850.8000000000001,-849.7564276345115
8023,3.3994317666469405,877.8999999999999,-874.500568233353
8024,1954.9408840010317,1036.1999999999996,918.7408840010321
8025,1833.6577763169116,1058.8000000000004,774.8577763169112
8026,1658.9906935885992,1016.4,642.5906935885993
8027,1506.3921462196467,996.3000000000001,510.0921462196467
8028,1372.1394000972568,992.2,379.9394000972568
8029,1252.3824076242113,966.5000000000001,285.88240762421117
8030,1149.5354559396972,947.5000000000005,202.0354559396967
8031,1096.1632140176268,939.8000000000001,156.36321401762677
8032,1019.7616858188744,912.9000000000001,106.86168581887432
8033,1004.4187741921012,918.5,85.91877419210118
8034,993.2189044533685,920.0,73.21890445336851
8035,988.3682968880112,925.5,62.86829688801117
8036,996.2088593442131,943.8000000000004,52.408859344212715
8037,1035.5677706677925,993.5,42.0677706677925
8038,1067.3996357029068,1029.1999999999996,38.199635702907244
8039,1075.5957491073316,1036.9999999999993,38.59574910733227
8040,1068.022481836981,1026.9999999999998,41.022481836981115
8041,0.0,867.3999999999995,-867.3999999999995
8042,0.0,857.8999999999995,-857.8999999999995
8043,0.0,828.5999999999999,-828.5999999999999
8044,0.1799900495722187,823.0000000000001,-822.8200099504279
8045,0.6172550622594002,806.1000000000006,-805.4827449377412
8046,1.4610891163291293,817.4999999999999,-816.0389108836707
8047,5.146283118080799,789.5999999999999,-784.4537168819191
8048,1983.3725889285506,953.5000000000001,1029.8725889285506
8049,1823.6657284353103,957.8000000000002,865.8657284353101
8050,1683.1595325712724,973.0000000000001,710.1595325712723
8051,1523.3444401387683,934.5,588.8444401387683
8052,1378.012607357815,907.4,470.61260735781514
8053,1219.2889224740486,874.1999999999994,345.08892247404924
8054,1109.6168320242768,868.4999999999994,241.11683202427741
8055,1018.391389611943,848.6000000000003,169.7913896119428
8056,980.5942317407441,854.8999999999997,125.69423174074439
8057,932.6517621154139,832.7000000000002,99.95176211541377
8058,907.8068103181189,826.9000000000001,80.9068103181188
8059,894.9174237646229,829.6999999999999,65.21742376462294
8060,902.4238266270369,854.7999999999998,47.62382662703703
8061,883.100006244177,843.6999999999999,39.40000624417712
8062,875.2606049768216,844.6999999999999,30.56060497682165
8063,882.2736380808748,860.1999999999995,22.0736380808753
8064,877.047649369727,860.1999999999995,16.847649369727492
8065,0.0,671.9000000000001,-671.9000000000001
8066,0.0,669.2000000000002,-669.2000000000002
8067,0.0,661.7999999999998,-661.7999999999998
8068,0.0,669.2000000000002,-669.2000000000002
8069,0.0,667.8000000000001,-667.8000000000001
8070,0.2444872725820193,666.4,-666.155512727418
8071,0.5387039184053146,642.4999999999999,-641.9612960815946
8072,1604.2955110792625,816.9999999999999,787.2955110792626
8073,1463.8670947181222,807.7000000000005,656.1670947181217
8074,1303.4571571072436,782.6999999999998,520.7571571072438
8075,1101.085559974056,729.4999999999997,371.5855599740563
8076,921.8463058632989,711.3999999999999,210.44630586329902
8077,795.2360499970446,694.4000000000001,100.83604999704448
8078,721.8741222229414,708.3999999999997,13.474122222941673
8079,669.2728688027842,707.3999999999996,-38.127131197215476
8080,674.669040019547,722.5999999999999,-47.93095998045294
8081,686.4174574615625,738.4999999999997,-52.08254253843711
8082,689.4727129298938,740.6999999999997,-51.227287070105945
8083,707.6054735383198,761.6999999999999,-54.094526461680175
8084,733.501365983781,787.9,-54.39863401621892
8085,714.3808606069808,764.3999999999999,-50.01913939301903
8086,727.3994665984621,777.0,-49.60053340153786
8087,725.1439320034547,772.8,-47.65606799654529
8088,733.3850790476666,780.9999999999998,-47.61492095233314
8089,0.0,626.6999999999998,-626.6999999999998
8090,0.0,638.5000000000001,-638.5000000000001
8091,0.0,669.2000000000002,-669.2000000000002
8092,0.0,664.1999999999999,-664.1999999999999
8093,0.0,703.5999999999999,-703.5999999999999
8094,0.2271494733672115,715.9999999999997,-715.7728505266324
8095,0.5423320157856887,680.3000000000001,-679.7576679842144
8096,1579.5585438336852,842.0,737.5585438336852
8097,1456.428893421899,841.6,614.8288934218989
8098,1327.8756008552668,837.9,489.97560085526686
8099,1139.9594096487365,791.8,348.1594096487365
8100,1001.8614093472571,799.8000000000005,202.06140934725659
8101,861.5673128580804,779.5999999999999,81.9673128580805
8102,745.5477367193798,780.0999999999999,-34.55226328062008
8103,713.8528153314716,828.3000000000001,-114.44718466852851
8104,692.2196680186441,842.4000000000001,-150.18033198135595
8105,711.4535028566988,856.3,-144.84649714330112
8106,763.4990359966209,890.7000000000003,-127.20096400337934
8107,807.9649775161176,916.6000000000004,-108.63502248388272
8108,828.7272341673263,919.1000000000001,-90.37276583267385
8109,871.3367598720051,947.8000000000004,-76.46324012799528
8110,889.6885752891272,950.9000000000003,-61.211424710873075
8111,904.2306507706196,953.1000000000001,-48.86934922938053
8112,945.0119655128747,985.8999999999999,-40.888034487125196
8113,0.0,798.5000000000006,-798.5000000000006
8114,0.0,768.4000000000001,-768.4000000000001
8115,0.0,744.3,-744.3
8116,0.0,700.0999999999998,-700.0999999999998
8117,0.1615154904083286,703.0999999999998,-702.9384845095915
8118,0.5678981319672511,715.4999999999997,-714.9321018680324
8119,0.9138773875969974,678.2,-677.286122612403
8120,1675.2986505656945,829.9999999999999,845.2986505656946
8121,1520.5478653266575,815.6999999999997,704.8478653266578
8122,1378.2956426290384,793.1999999999999,585.0956426290385
8123,1215.4005328000733,762.1999999999999,453.20053280007335
8124,1077.4682240408413,731.1999999999996,346.2682240408417
8125,950.3190308095918,710.5999999999999,239.7190308095919
8126,778.8806875829735,661.5999999999998,117.28068758297366
8127,672.9426674574466,647.3999999999999,25.542667457446782
8128,624.4981729987684,652.6999999999999,-28.20182700123155
8129,600.3826511857109,644.7999999999998,-44.41734881428897
8130,578.8089303414885,627.7999999999998,-48.99106965851138
8131,584.7524677799928,642.0999999999999,-57.34753222000711
8132,568.1289176765322,627.7999999999998,-59.67108232346766
8133,553.1298619536503,617.3000000000001,-64.17013804634973
8134,515.9005619611141,581.4000000000001,-65.49943803888596
8135,499.0697534296104,569.0999999999998,-70.03024657038941
