hour,simstadt_heating_demand_kwh_h
1111,322.9000000000001
1112,451.3000000000003
1113,448.90000000000015
1114,439.6999999999999
1115,412.40000000000015
1116,361.2999999999998
1117,313.4000000000001
1118,311.9000000000001
1119,339.80000000000007
1120,353.49999999999994
1121,363.2999999999998
1122,381.1
1123,417.0
1124,452.80000000000024
1125,472.2000000000001
1126,491.29999999999995
1127,530.0999999999998
1128,541.8999999999997
1129,421.19999999999976
1130,421.79999999999984
1131,455.0000000000003
1132,466.7000000000001
1133,499.5999999999999
1134,506.70000000000005
1135,505.1
1136,632.6999999999998
1137,602.9999999999998
1138,601.8999999999997
1139,581.4000000000001
1140,541.2999999999997
1141,513.8000000000002
1142,498.4
1143,487.8000000000001
1144,499.5999999999999
1145,512.7000000000002
1146,573.7000000000002
1147,578.2
1148,599.0999999999997
1149,614.2999999999998
1150,662.0000000000002
1151,676.0000000000002
1152,699.6999999999997
1153,574.4000000000001
1154,575.9000000000002
1155,596.0999999999998
1156,600.4999999999998
1157,624.7999999999998
1158,622.1000000000003
1159,617.6
1160,772.2999999999998
1161,779.9999999999997
1162,765.7999999999994
1163,749.2999999999996
1164,730.6
1165,700.2999999999997
1166,701.1999999999998
1167,687.9000000000001
1168,674.6000000000003
1169,666.3000000000004
1170,708.5000000000003
1171,743.4999999999999
1172,739.5
1173,743.3
1174,759.5999999999999
1175,797.6
1176,792.0999999999999
1177,636.1
1178,639.4999999999998
1179,668.3000000000005
1180,664.2000000000003
1181,690.2
1182,707.4000000000003
1183,701.1999999999998
1184,844.6
1185,817.3000000000002
1186,797.7
1187,795.6999999999999
1188,768.4999999999995
1189,745.9999999999994
1190,727.4
1191,728.9
1192,717.6999999999999
1193,731.4999999999999
1194,760.2999999999998
1195,766.1999999999994
1196,816.0000000000002
1197,852.9999999999999
1198,872.5999999999995
1199,856.1999999999997
1200,875.1999999999998
1201,752.1999999999997
1202,788.0
1203,788.3000000000001
1204,790.8
1205,767.0999999999996
1206,747.9999999999997
1207,749.9999999999995
1208,886.0000000000001
1209,887.7
1210,870.1999999999995
1211,851.5000000000002
1212,844.4000000000001
1213,839.3000000000004
1214,838.7000000000005
1215,821.4000000000002
1216,839.1000000000004
1217,842.8000000000001
1218,873.5999999999996
1219,890.0000000000001
1220,902.2000000000002
1221,910.5000000000003
