hour,simstadt_heating_demand_kwh_h
1556,1051.1000000000004
1557,1126.8999999999996
1558,1216.600000000001
1559,1238.2999999999993
1560,1260.500000000001
1561,1279.4999999999998
1562,1271.1000000000001
1563,1276.8999999999999
1564,1328.3000000000002
1565,1351.6000000000006
1566,1355.3000000000006
1567,1282.6999999999994
1568,1270.4
1569,1216.800000000001
1570,1130.299999999999
1571,1040.4999999999998
1572,951.7999999999997
1573,906.7000000000002
1574,872.5999999999998
1575,805.9000000000002
1576,784.1000000000005
1577,803.1000000000003
1578,863.9000000000001
1579,932.7000000000003
1580,1047.8000000000004
1581,1035.0999999999997
1582,1062.3000000000002
1583,1073.6000000000004
1584,1035.8999999999992
1585,1047.2000000000005
1586,1102.2000000000003
1587,1088.4000000000008
1588,1070.3000000000004
1589,1097.6
1590,1153.3
1591,1130.6999999999991
1592,1106.8999999999996
1593,957.2999999999998
1594,841.6999999999996
1595,702.3
1596,636.6000000000001
1597,576.3999999999999
1598,493.3
1599,437.2000000000001
1600,467.1000000000003
1601,544.9999999999998
1602,576.5999999999999
1603,600.9999999999999
1604,643.0000000000001
1605,725.9999999999997
1606,753.5999999999996
1607,771.5000000000002
1608,817.2999999999997
1609,851.0999999999999
1610,833.9
1611,898.6000000000003
1612,915.2000000000002
1613,905.5000000000002
1614,916.3000000000002
1615,903.2000000000002
1616,935.0000000000003
1617,890.0000000000001
1618,808.6
1619,740.1
1620,616.8000000000001
1621,555.3000000000001
1622,520.1999999999998
1623,510.5999999999997
1624,500.4999999999999
1625,571.4000000000001
1626,696.9
1627,815.0999999999997
1628,912.3000000000003
1629,983.3000000000003
1630,1011.8999999999999
1631,1063.0000000000002
1632,1097.3999999999999
1633,1107.6999999999996
1634,1096.2999999999997
1635,1133.7999999999995
1636,1136.2999999999997
1637,1152.8
1638,1168.3000000000004
1639,1177.5999999999997
1640,1160.2000000000007
1641,1011.6999999999998
1642,908.6000000000001
1643,789.0000000000001
1644,614.7
1645,470.9000000000003
1646,377.5999999999999
1647,324.3000000000001
1648,340.0
1649,397.2000000000002
1650,500.4999999999999
1651,596.6999999999999
1652,620.1999999999997
1653,693.1000000000004
1654,748.3999999999997
1655,747.6999999999997
1656,821.1999999999998
1657,813.8999999999996
1658,856.6000000000004
1659,885.5999999999998
1660,896.2000000000004
1661,913.5000000000001
1662,918.3000000000003
1663,920.6000000000004
1664,934.8000000000003
1665,866.5999999999999
1666,747.5999999999998
1667,609.9000000000001
1668,475.5000000000001
1669,324.8000000000001
1670,314.10000000000014
1671,316.3
1672,305.69999999999993
1673,348.80000000000007
1674,420.7999999999999
1675,489.60000000000014
1676,589.7000000000003
1677,592.9000000000001
1678,600.3
1679,655.1999999999996
1680,711.9999999999999
1681,782.4000000000005
1682,822.8999999999999
1683,844.4999999999997
1684,823.9
1685,815.4999999999997
1686,850.9999999999999
1687,862.7000000000003
