hour,rc_heating_demand_kwh_h,simstadt_heating_demand_kwh_h,diff_heating_kwh_h
1176,880.0037557953625,792.0999999999999,87.9037557953626
1177,0.0,636.1,-636.1
1178,0.0,639.4999999999998,-639.4999999999998
1179,0.5490940934378266,668.3000000000005,-667.7509059065627
1180,3.06153420718967,664.2000000000003,-661.1384657928106
1181,37.770332213279104,690.2,-652.429667786721
1182,168.88288242093904,707.4000000000003,-538.5171175790613
1183,321.2270933272047,701.1999999999998,-379.9729066727951
1184,2496.774298163009,844.6,1652.174298163009
1185,2011.128930652124,817.3000000000002,1193.8289306521237
1186,1622.520071954321,797.7,824.8200719543211
1187,1276.731668094812,795.6999999999999,481.03166809481206
1188,990.7028347712652,768.4999999999995,222.20283477126566
1189,715.5676525154674,745.9999999999994,-30.432347484531988
1190,472.3035641648249,727.4,-255.0964358351751
1191,347.8119888306347,728.9,-381.0880111693653
1192,317.8044502219326,717.6999999999999,-399.89554977806733
1193,340.4045978043161,731.4999999999999,-391.0954021956838
1194,444.59866492798346,760.2999999999998,-315.7013350720164
1195,571.3374448298713,766.1999999999994,-194.86255517012808
1196,727.4051107915362,816.0000000000002,-88.594889208464
1197,844.6919782284183,852.9999999999999,-8.308021771581593
1198,923.9224796257356,872.5999999999995,51.32247962573615
1199,949.6057500632236,856.1999999999997,93.40575006322388
1200,997.9291072322104,875.1999999999998,122.7291072322106
1201,0.0,752.1999999999997,-752.1999999999997
1202,0.1857681473087826,788.0,-787.8142318526913
1203,2.681164412093071,788.3000000000001,-785.618835587907
1204,51.79020530783357,790.8,-739.0097946921663
1205,213.28293503944505,767.0999999999996,-553.8170649605545
1206,373.089122256361,747.9999999999997,-374.91087774363865
1207,513.5484492354611,749.9999999999995,-236.4515507645384
1208,2662.338786826941,886.0000000000001,1776.338786826941
1209,2173.946705773983,887.7,1286.246705773983
1210,1779.9698161110002,870.1999999999995,909.7698161110008
1211,1452.590251858902,851.5000000000002,601.0902518589019
1212,1232.6191151846358,844.4000000000001,388.2191151846357
1213,1041.4540782207073,839.3000000000004,202.15407822070688
1214,885.1572293302206,838.7000000000005,46.457229330220116
1215,740.3166218045245,821.4000000000002,-81.08337819547569
1216,691.5219568815553,839.1000000000004,-147.57804311844507
1217,722.6508908250586,842.8000000000001,-120.14910917494149
1218,832.128373838372,873.5999999999996,-41.47162616162757
1219,922.096959194907,890.0000000000001,32.096959194906844
1220,988.4348584585754,902.2000000000002,86.23485845857522
1221,1035.0190055134,910.5000000000003,124.51900551339975
1222,1070.1061040688064,916.4000000000004,153.70610406880598
1223,1087.0187143030134,913.4000000000004,173.618714303013
1224,1125.118898354248,936.0000000000001,189.1188983542478
1225,0.0,794.1,-794.1
