Building ID,building_type,usage_type,heated_area_m2,heated_volume_m3,window_to_heated,window_to_wall,annual_rc_kwh,annual_simstadt_kwh,annual_diff_kwh,annual_diff_pct,heating_mismatch_score,heating_diff_abs_kwh,heating_diff_abs_pct
DEBW_52210004I04,MFH,residential,376.1,1175.3,0.23852698750332355,0.2090216454251031,9483.433403495765,11711.8,-2228.3665965042346,-19.026679045955657,19.026679045955657,2228.3665965042346,19.026679045955657
DEBW_52210004HiD,MFH,residential,400.2,1250.6,0.2302848575712144,0.2104878494427187,9975.047814305644,12305.2,-2330.1521856943564,-18.93632111379219,18.93632111379219,2330.1521856943564,18.93632111379219
DEBW_5221000518C,MFH,residential,548.3,1482.5,0.17950027357286158,0.1800025604916144,10870.115881645006,13394.6,-2524.4841183549943,-18.847028790370704,18.847028790370704,2524.4841183549943,18.847028790370704
DEBW_52210006KbP,MFH,residential,285.1,890.8,0.262504384426517,0.2073589715172337,7590.287892275694,9351.1,-1760.8121077243068,-18.829999761785317,18.829999761785317,1760.8121077243068,18.829999761785317
DEBW_52210004GDQ,MFH,residential,408.0,1275.1,0.17776960784313722,0.2150438804554079,8905.244336739426,10934.999999999998,-2029.755663260572,-18.56200880896728,18.56200880896728,2029.755663260572,18.56200880896728
DEBW_52210004evV,MFH,residential,445.0,1390.7,0.22141573033707868,0.2087809632784523,10739.14533344918,13147.6,-2408.4546665508205,-18.318587928981874,18.318587928981874,2408.4546665508205,18.318587928981874
DEBW_52210006GkA,MFH,residential,360.6,1126.7,0.21638935108153076,0.2120034776938543,8914.262492628024,10876.8,-1962.5375073719752,-18.043335423764116,18.043335423764116,1962.5375073719752,18.043335423764116
DEBW_52210005doZ,MFH,residential,324.2,1013.1,0.23942011104256633,0.2098234801178601,8175.201653539032,9974.1,-1798.8983464609682,-18.035695917034804,18.035695917034804,1798.8983464609682,18.035695917034804
DEBW_522100051DN,MFH,residential,163.8,511.8,0.23913308913308912,0.2107386883305536,4371.098547398091,5323.0,-951.9014526019091,-17.882800161598894,17.882800161598894,951.9014526019091,17.882800161598894
DEBW_52210003vBM,MFH,residential,376.4,1176.1,0.25358660998937305,0.2053438891637803,9773.36235647535,11877.3,-2103.9376435246486,-17.713938719445068,17.713938719445068,2103.9376435246486,17.713938719445068
DEBW_52210006Krt,RH,residential,166.7,521.1,0.3187162567486503,0.3167779632721202,4471.433558798056,5402.700000000001,-931.2664412019449,-17.23705630891859,17.23705630891859,931.2664412019449,17.23705630891859
