HOY,HeatingDemand_sum,HeatingEnergy_sum,CoolingDemand_sum,CoolingEnergy_sum,IndoorAir_mean,OutsideTemp_mean,SolarGains_sum,COP_mean,HeatingDemand_kWh_h_sum,CoolingDemand_kWh_h_sum,HeatingDemand_Wh_m2h_sum,CoolingDemand_Wh_m2h_sum,Portfolio ID
53,1110302.9097847766,1110302.9097847766,0.0,0.0,20.0,-5.41,0.0,,1110.3029097847766,0.0,15.000870215518242,-0.0,ALL_BUILDINGS
54,1102108.8288978674,1102108.8288978674,0.0,0.0,20.0,-5.09,0.0,,1102.1088288978674,0.0,14.890163179774447,-0.0,ALL_BUILDINGS
55,1133308.9570733723,1133308.9570733723,0.0,0.0,20.0,-5.84,0.0,,1133.3089570733723,0.0,15.31169596091343,-0.0,ALL_BUILDINGS
56,1123917.6998548256,1123917.6998548256,0.0,0.0,20.0,-5.48,0.0,,1123.9176998548255,0.0,15.184814341983625,-0.0,ALL_BUILDINGS
57,1115565.5889702337,1115565.5889702337,0.0,0.0,20.0,-5.23,0.0,,1115.5655889702336,0.0,15.071972224484655,-0.0,ALL_BUILDINGS
58,1101726.5952896094,1101726.5952896094,0.0,0.0,20.0,-5.380000000000001,92144.53728931237,,1101.7265952896093,0.0,14.884998970351093,-0.0,ALL_BUILDINGS
59,1055198.8861496989,1055198.8861496989,0.0,0.0,20.0,-4.7,88867.48187018924,,1055.1988861496989,0.0,14.256381212005785,-0.0,ALL_BUILDINGS
60,946126.0595551685,946126.0595551685,0.0,0.0,20.0,-4.48,481873.3050406796,,946.1260595551685,0.0,12.782740729426632,-0.0,ALL_BUILDINGS
61,778208.3138447823,778208.3138447823,0.0,0.0,20.0,-3.4400000000000004,597900.8426573728,,778.2083138447823,0.0,10.514069461356037,-0.0,ALL_BUILDINGS
62,643856.9974290935,643856.9974290935,0.0,0.0,20.0,-2.87,641916.4182405699,,643.8569974290934,0.0,8.698901147308801,-0.0,ALL_BUILDINGS
63,572386.5370660052,572386.5370660052,0.0,0.0,20.0,-2.46,507445.964855112,,572.3865370660052,0.0,7.733291590942017,-0.0,ALL_BUILDINGS
64,583283.7474507757,583283.7474507757,0.0,0.0,20.0,-2.37,299766.89066560473,,583.2837474507756,0.0,7.880519556619263,-0.0,ALL_BUILDINGS
65,667092.7230206699,667092.7230206699,0.0,0.0,20.0,-2.63,75948.97410219478,,667.0927230206698,0.0,9.012829986809185,-0.0,ALL_BUILDINGS
66,788442.076965461,788442.076965461,0.0,0.0,20.0,-3.52,0.0,,788.4420769654611,0.0,10.652333849422368,-0.0,ALL_BUILDINGS
67,890258.6066869203,890258.6066869203,0.0,0.0,20.0,-4.32,0.0,,890.2586066869203,0.0,12.027937330856213,-0.0,ALL_BUILDINGS
68,965869.7782620023,965869.7782620023,0.0,0.0,20.0,-4.9,0.0,,965.8697782620022,0.0,13.049490423841396,-0.0,ALL_BUILDINGS
69,1035441.3298828354,1035441.3298828354,0.0,0.0,20.0,-5.66,0.0,,1035.4413298828354,0.0,13.989444563706385,-0.0,ALL_BUILDINGS
70,1089309.735311579,1089309.735311579,0.0,0.0,20.0,-6.23,0.0,,1089.309735311579,0.0,14.717239610834687,-0.0,ALL_BUILDINGS
71,1134572.9555585457,1134572.9555585457,0.0,0.0,20.0,-6.75,0.0,,1134.5729555585456,0.0,15.328773352192512,-0.0,ALL_BUILDINGS
72,1169445.509584828,1169445.509584828,0.0,0.0,20.0,-7.130000000000001,0.0,,1169.445509584828,0.0,15.799922848804488,-0.0,ALL_BUILDINGS
73,1197073.4892654559,1197073.4892654559,0.0,0.0,20.0,-7.43,0.0,,1197.073489265456,0.0,16.173193722773835,-0.0,ALL_BUILDINGS
74,1210371.9457998818,1210371.9457998818,0.0,0.0,20.0,-7.45,0.0,,1210.3719457998818,0.0,16.35286399003298,-0.0,ALL_BUILDINGS
75,1209298.5911869833,1209298.5911869833,0.0,0.0,20.0,-7.2,0.0,,1209.2985911869832,0.0,16.33836231386747,-0.0,ALL_BUILDINGS
76,1221328.8670016376,1221328.8670016376,0.0,0.0,20.0,-7.380000000000001,0.0,,1221.3288670016375,0.0,16.500898685304612,-0.0,ALL_BUILDINGS
77,1223708.1921119634,1223708.1921119634,0.0,0.0,20.0,-7.33,0.0,,1223.7081921119634,0.0,16.5330448202611,-0.0,ALL_BUILDINGS
78,1220966.5128654265,1220966.5128654265,0.0,0.0,20.0,-7.19,0.0,,1220.9665128654265,0.0,16.496003059686185,-0.0,ALL_BUILDINGS
79,1200046.1085196212,1200046.1085196212,0.0,0.0,20.0,-6.630000000000001,0.0,,1200.0461085196212,0.0,16.21335562385408,-0.0,ALL_BUILDINGS
80,1163239.506750904,1163239.506750904,0.0,0.0,20.0,-5.75,0.0,,1163.239506750904,0.0,15.716075961393486,-0.0,ALL_BUILDINGS
81,1127726.8777123373,1127726.8777123373,0.0,0.0,20.0,-5.0,0.0,,1127.7268777123372,0.0,15.236278660562627,-0.0,ALL_BUILDINGS
82,1043189.5718009602,1043189.5718009602,0.0,0.0,20.0,-3.72,122348.71650920558,,1043.1895718009603,0.0,14.094128042771354,-0.0,ALL_BUILDINGS
83,881695.1591924386,881695.1591924386,0.0,0.0,20.0,-1.56,292644.85183153674,,881.6951591924386,0.0,11.912239926724375,-0.0,ALL_BUILDINGS
84,685397.7403041535,685397.7403041535,0.0,0.0,20.0,0.12,539745.9113509471,,685.3977403041536,0.0,9.260141946583824,-0.0,ALL_BUILDINGS
85,498995.7678474794,498995.7678474794,0.0,0.0,20.0,1.65,575704.5715407558,,498.9957678474794,0.0,6.741737489478334,-0.0,ALL_BUILDINGS
86,382696.3658758292,382696.3658758292,0.0,0.0,20.000382918292754,2.25,550737.5347283082,,382.6963658758292,0.0,5.17046156131087,-0.0,ALL_BUILDINGS
87,349425.07640517247,349425.07640517247,0.0,0.0,20.0,2.05,437115.0507877024,,349.4250764051725,0.0,4.720946126510284,-0.0,ALL_BUILDINGS
88,384524.2486655581,384524.2486655581,0.0,0.0,20.0,2.19,158669.20283400567,,384.5242486655581,0.0,5.195157373828572,-0.0,ALL_BUILDINGS
89,448324.6668295008,448324.6668295008,0.0,0.0,20.0,1.86,152420.5064129293,,448.3246668295008,0.0,6.05713997707926,-0.0,ALL_BUILDINGS
90,525120.6194163715,525120.6194163715,0.0,0.0,20.0,1.68,0.0,,525.1206194163715,0.0,7.094700184911235,-0.0,ALL_BUILDINGS
91,583994.9610036161,583994.9610036161,0.0,0.0,20.0,1.74,0.0,,583.9949610036161,0.0,7.890128485955263,-0.0,ALL_BUILDINGS
92,608273.7251348945,608273.7251348945,0.0,0.0,20.0,2.19,0.0,,608.2737251348944,0.0,8.218149412962546,-0.0,ALL_BUILDINGS
93,657771.8160537224,657771.8160537224,0.0,0.0,20.0,1.62,0.0,,657.7718160537224,0.0,8.886898842731393,-0.0,ALL_BUILDINGS
94,692464.3270452644,692464.3270452644,0.0,0.0,20.0,1.29,0.0,,692.4643270452644,0.0,9.35561584801731,-0.0,ALL_BUILDINGS
95,716322.0519551266,716322.0519551266,0.0,0.0,20.0,1.11,0.0,,716.3220519551265,0.0,9.677948278074394,-0.0,ALL_BUILDINGS
96,730873.6068581538,730873.6068581538,0.0,0.0,20.0,1.06,0.0,,730.8736068581538,0.0,9.874548669382577,-0.0,ALL_BUILDINGS
97,739105.2668119918,739105.2668119918,0.0,0.0,20.0,1.08,0.0,,739.1052668119918,0.0,9.98576342126478,-0.0,ALL_BUILDINGS
98,752042.0895425389,752042.0895425389,0.0,0.0,20.0,0.91,0.0,,752.0420895425389,0.0,10.160547795035106,-0.0,ALL_BUILDINGS
99,788937.766797221,788937.766797221,0.0,0.0,20.0,0.11,0.0,,788.937766797221,0.0,10.65903092169684,-0.0,ALL_BUILDINGS
100,815268.808918964,815268.808918964,0.0,0.0,20.0,-0.36,0.0,,815.268808918964,0.0,11.014779377390049,-0.0,ALL_BUILDINGS
101,845210.929107597,845210.929107597,0.0,0.0,20.0,-0.9199999999999999,0.0,,845.2109291075969,0.0,11.41931570253955,-0.0,ALL_BUILDINGS
102,865737.5165289174,865737.5165289174,0.0,0.0,20.0,-1.23,0.0,,865.7375165289174,0.0,11.696642431273785,-0.0,ALL_BUILDINGS
103,903151.1266631713,903151.1266631713,0.0,0.0,20.0,-1.99,0.0,,903.1511266631713,0.0,12.2021231473666,-0.0,ALL_BUILDINGS
104,922400.2964253185,922400.2964253185,0.0,0.0,20.0,-2.25,0.0,,922.4002964253185,0.0,12.46219118358783,-0.0,ALL_BUILDINGS
105,948160.2343584432,948160.2343584432,0.0,0.0,20.0,-2.71,0.0,,948.1602343584432,0.0,12.810223673000575,-0.0,ALL_BUILDINGS
106,939120.5006402639,939120.5006402639,0.0,0.0,20.0,-2.64,65116.08545712106,,939.1205006402639,0.0,12.688091351186218,-0.0,ALL_BUILDINGS
107,919667.5454808217,919667.5454808217,0.0,0.0,20.0,-3.03,182738.43918855084,,919.6675454808218,0.0,12.425270049824725,-0.0,ALL_BUILDINGS
108,897017.0419251318,897017.0419251318,0.0,0.0,20.0,-3.23,178074.98363140822,,897.0170419251318,0.0,12.119247917341164,-0.0,ALL_BUILDINGS
109,877682.8298035322,877682.8298035322,0.0,0.0,20.0,-3.3099999999999996,190879.30811240544,,877.6828298035322,0.0,11.858030906920435,-0.0,ALL_BUILDINGS
110,874366.8326352941,874366.8326352941,0.0,0.0,20.0,-3.85,230716.73844689812,,874.366832635294,0.0,11.813229760568934,-0.0,ALL_BUILDINGS
111,907707.0014412641,907707.0014412641,0.0,0.0,20.0,-5.1,224071.65127033993,,907.7070014412641,0.0,12.263675797244431,-0.0,ALL_BUILDINGS
112,916841.976448488,916841.976448488,0.0,0.0,20.0,-4.97,136454.34804931117,,916.8419764484879,0.0,12.387094887024112,-0.0,ALL_BUILDINGS
113,992312.1938523635,992312.1938523635,0.0,0.0,20.0,-6.1,68127.87341852466,,992.3121938523635,0.0,13.406743603095599,-0.0,ALL_BUILDINGS
114,1084395.887883323,1084395.887883323,0.0,0.0,20.0,-7.24,0.0,,1084.395887883323,0.0,14.650850531890082,-0.0,ALL_BUILDINGS
115,1134061.4693806684,1134061.4693806684,0.0,0.0,20.0,-7.390000000000001,0.0,,1134.0614693806683,0.0,15.321862861637412,-0.0,ALL_BUILDINGS
116,1144917.1189426952,1144917.1189426952,0.0,0.0,20.0,-6.880000000000001,0.0,,1144.9171189426952,0.0,15.468529315224098,-0.0,ALL_BUILDINGS
117,1192795.9880048628,1192795.9880048628,0.0,0.0,20.0,-7.609999999999999,0.0,,1192.7959880048627,0.0,16.115402069080602,-0.0,ALL_BUILDINGS
118,1250508.4699043524,1250508.4699043524,0.0,0.0,20.0,-8.64,0.0,,1250.5084699043525,0.0,16.89513293636033,-0.0,ALL_BUILDINGS
119,1315450.7447037813,1315450.7447037813,0.0,0.0,20.0,-9.85,0.0,,1315.4507447037813,0.0,17.772542719926143,-0.0,ALL_BUILDINGS
120,1339779.9939138223,1339779.9939138223,0.0,0.0,20.0,-10.010000000000002,0.0,,1339.7799939138224,0.0,18.101245731171577,-0.0,ALL_BUILDINGS
121,1380430.880043851,1380430.880043851,0.0,0.0,20.0,-10.7,0.0,,1380.430880043851,0.0,18.650464022512068,-0.0,ALL_BUILDINGS
122,1395195.4714331427,1395195.4714331427,0.0,0.0,20.0,-10.75,0.0,,1395.1954714331428,0.0,18.849942666820816,-0.0,ALL_BUILDINGS
123,1377412.002499642,1377412.002499642,0.0,0.0,20.0,-10.07,0.0,,1377.412002499642,0.0,18.609677143689968,-0.0,ALL_BUILDINGS
124,1377559.4739986798,1377559.4739986798,0.0,0.0,20.0,-10.0,0.0,,1377.5594739986798,0.0,18.61166957368187,-0.0,ALL_BUILDINGS
125,1328963.4224183327,1328963.4224183327,0.0,0.0,20.0,-8.73,0.0,,1328.9634224183326,0.0,17.955107246123234,-0.0,ALL_BUILDINGS
126,1288068.7470193985,1288068.7470193985,0.0,0.0,20.0,-7.83,0.0,,1288.0687470193984,0.0,17.402595212912342,-0.0,ALL_BUILDINGS
127,1266816.5545305752,1266816.5545305752,0.0,0.0,20.0,-7.5,0.0,,1266.816554530575,0.0,17.11546511669216,-0.0,ALL_BUILDINGS
128,1251174.9583124777,1251174.9583124777,0.0,0.0,20.0,-7.29,0.0,,1251.1749583124777,0.0,16.90413760168393,-0.0,ALL_BUILDINGS
129,1229199.1696084084,1229199.1696084084,0.0,0.0,20.0,-6.890000000000001,0.0,,1229.1991696084083,0.0,16.60723127879832,-0.0,ALL_BUILDINGS
130,1164499.0136410822,1164499.0136410822,0.0,0.0,20.0,-5.85,80985.74340615867,,1164.4990136410822,0.0,15.733092668481804,-0.0,ALL_BUILDINGS
131,1014341.8723232817,1014341.8723232817,0.0,0.0,20.0,-4.35,375840.07995450764,,1014.3418723232817,0.0,13.704378009634171,-0.0,ALL_BUILDINGS
132,833302.3750771076,833302.3750771076,0.0,0.0,20.0,-3.0599999999999996,544511.1330007828,,833.3023750771076,0.0,11.258423866724685,-0.0,ALL_BUILDINGS
133,629118.1834925171,629118.1834925171,0.0,0.0,20.00000722701157,-1.23,646234.4365690665,,629.1181834925171,0.0,8.49977077212487,-0.0,ALL_BUILDINGS
134,469532.89258106577,469532.89258106577,0.0,0.0,20.00246188866406,0.12,634916.2093731139,,469.53289258106577,0.0,6.343676055834838,-0.0,ALL_BUILDINGS
135,393212.81226624467,393212.81226624467,0.0,0.0,20.0022906954304,0.75,501063.32130896475,,393.21281226624467,0.0,5.312545172945876,-0.0,ALL_BUILDINGS
136,357824.12718264846,357824.12718264846,0.0,0.0,20.00156818929973,1.6600000000000001,364505.03251711954,,357.82412718264845,0.0,4.834422430621643,-0.0,ALL_BUILDINGS
137,409030.8647214786,409030.8647214786,0.0,0.0,20.0,1.64,157996.92710303937,,409.0308647214786,0.0,5.526256719454585,-0.0,ALL_BUILDINGS
138,517133.1479503119,517133.1479503119,0.0,0.0,20.0,1.06,0.0,,517.1331479503119,0.0,6.986784568590154,-0.0,ALL_BUILDINGS
139,561021.0575058653,561021.0575058653,0.0,0.0,20.0,1.83,0.0,,561.0210575058653,0.0,7.579737022800039,-0.0,ALL_BUILDINGS
140,604620.4697640818,604620.4697640818,0.0,0.0,20.0,1.93,0.0,,604.6204697640818,0.0,8.168791702378567,-0.0,ALL_BUILDINGS
141,643832.614060227,643832.614060227,0.0,0.0,20.0,1.76,0.0,,643.8326140602269,0.0,8.698571713107954,-0.0,ALL_BUILDINGS
142,666477.6975298075,666477.6975298075,0.0,0.0,20.0,1.7799999999999998,0.0,,666.4776975298074,0.0,9.0045206169189,-0.0,ALL_BUILDINGS
143,683483.6886402026,683483.6886402026,0.0,0.0,20.0,1.76,0.0,,683.4836886402027,0.0,9.234281939964287,-0.0,ALL_BUILDINGS
144,691725.4935635591,691725.4935635591,0.0,0.0,20.0,1.8399999999999999,0.0,,691.7254935635591,0.0,9.345633756578778,-0.0,ALL_BUILDINGS
145,687804.3457103757,687804.3457103757,0.0,0.0,20.0,2.13,0.0,,687.8043457103757,0.0,9.292656654994072,-0.0,ALL_BUILDINGS
146,707868.1710860616,707868.1710860616,0.0,0.0,20.0,1.7200000000000002,0.0,,707.8681710860616,0.0,9.563731185948718,-0.0,ALL_BUILDINGS
147,716613.3424711316,716613.3424711316,0.0,0.0,20.0,1.62,0.0,,716.6133424711315,0.0,9.681883790795379,-0.0,ALL_BUILDINGS
148,730769.9700088847,730769.9700088847,0.0,0.0,20.0,1.36,0.0,,730.7699700088847,0.0,9.873148472272643,-0.0,ALL_BUILDINGS
149,763708.9194744152,763708.9194744152,0.0,0.0,20.0,0.63,0.0,,763.7089194744152,0.0,10.318173790691127,-0.0,ALL_BUILDINGS
150,754784.6916598168,754784.6916598168,0.0,0.0,20.0,1.02,0.0,,754.7846916598168,0.0,10.197602024157199,-0.0,ALL_BUILDINGS
151,761295.3183751825,761295.3183751825,0.0,0.0,20.0,0.9199999999999999,0.0,,761.2953183751824,0.0,10.285564566197026,-0.0,ALL_BUILDINGS
152,779433.5188937612,779433.5188937612,0.0,0.0,20.0,0.52,0.0,,779.4335188937612,0.0,10.53062272962649,-0.0,ALL_BUILDINGS
153,770398.2254253271,770398.2254253271,0.0,0.0,20.0,0.84,0.0,,770.398225425327,0.0,10.40855039829722,-0.0,ALL_BUILDINGS
154,691054.9275019311,691054.9275019311,0.0,0.0,20.0,2.08,146423.49352721227,,691.054927501931,0.0,9.336573999666708,-0.0,ALL_BUILDINGS
155,591261.7612029813,591261.7612029813,0.0,0.0,20.0,2.55,345010.65337670856,,591.2617612029813,0.0,7.988307393451696,-0.0,ALL_BUILDINGS
