Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K],Annual Solar Gains [kWh],Annual Heating Demand Sim [kWh],Annual Cooling Demand Sim [kWh],Heated area [m2],Internal gains [W/m2],Usage type
DEBW_52210006HCZ,DEBW_52210006HCZ,very heavy,5,370000,31266.526481146724,41003.76409010494,4307.570563889529,550.0,4.2,residential
DEBW_52210006HXy,DEBW_52210006HXy,very heavy,5,370000,15658.76844493969,18469.73484862726,2277.1533721095016,192.3,4.2,residential
DEBW_52210006Hkl,DEBW_52210006Hkl,very heavy,5,370000,16872.44241933145,24783.321430173793,2039.25527532799,316.7,4.2,residential
DEBW_52210006Hwg,DEBW_52210006Hwg,very heavy,5,370000,49970.062718442845,45422.79074516299,10135.466060905872,851.2,4.2,residential
DEBW_52210006I2P,DEBW_52210006I2P,very heavy,5,370000,22695.631651136802,28158.380553622657,2931.9509301117723,311.4,4.2,residential
DEBW_52210006I2R,DEBW_52210006I2R,very heavy,5,370000,34873.5700876495,45498.416711630154,4610.318062775105,581.3,4.2,residential
DEBW_52210006Id7,DEBW_52210006Id7,very heavy,5,370000,20738.92041899255,26312.398279820696,2341.839256517167,239.4,4.2,residential
DEBW_52210006IeR,DEBW_52210006IeR,very heavy,5,370000,13568.557341687236,16600.370325817577,1616.018515263183,136.9,4.2,residential
DEBW_52210006InL,DEBW_52210006InL,very heavy,5,370000,21635.69425247529,26739.343763085133,2633.188936674783,246.9,4.2,residential
DEBW_52210006Iok,DEBW_52210006Iok,very heavy,5,370000,16701.638668265605,22146.096237965223,2122.672413638063,246.1,4.2,residential
DEBW_52210006Isp,DEBW_52210006Isp,very heavy,5,370000,19626.98868462319,23632.90390330536,2431.073382025333,212.9,4.2,residential
DEBW_52210006IxM,DEBW_52210006IxM,very heavy,5,370000,64618.068510333294,83743.12303266051,10474.314804849795,1406.2,4.2,residential
DEBW_52210006J1X,DEBW_52210006J1X,very heavy,5,370000,15800.030049770503,14830.001450683609,2816.8909822231967,211.3,4.2,residential
DEBW_52210006J9b,DEBW_52210006J9b,very heavy,5,370000,37794.67452229868,46609.805227475874,5406.8198431527235,615.6,4.2,residential
DEBW_52210006JsB,DEBW_52210006JsB,very heavy,5,370000,25638.696213539257,33343.25019156133,3353.2206741388877,434.9,4.2,residential
DEBW_52210006KHx,DEBW_52210006KHx,very heavy,5,370000,26945.057715291186,32966.065944516115,3581.4891581217776,399.6,4.2,residential
DEBW_52210006KZK,DEBW_52210006KZK,very heavy,5,370000,17700.247229298042,21676.868188778528,2164.578954756142,207.8,4.2,residential
DEBW_52210006KbP,DEBW_52210006KbP,very heavy,5,370000,20758.505257117584,25485.686106660367,2663.0096083113954,285.1,4.2,residential
DEBW_52210006KcE,DEBW_52210006KcE,very heavy,5,370000,23293.365213897963,29842.105852178698,3288.4405689766936,399.2,4.2,residential
DEBW_52210006Krt,DEBW_52210006Krt,very heavy,5,370000,14455.258252183135,14056.130687918556,2444.4162607853846,166.7,4.2,residential
DEBW_52210006NMW,DEBW_52210006NMW,very heavy,5,370000,23440.517322969143,28402.795881208443,3121.6517054027154,328.3,4.2,residential
DEBW_52210006NNm,DEBW_52210006NNm,very heavy,5,370000,16806.09667035256,17757.8626818087,3073.7665581139154,273.0,4.2,residential
DEBW_5221Us0004K,DEBW_5221Us0004K,very heavy,5,370000,28382.322992626632,28145.066709142186,4501.423368167236,298.1,4.2,residential
DEBW_522Ue00002q,DEBW_522Ue00002q,very heavy,5,370000,21131.637210601555,25175.883590982237,2656.408085984683,238.4,4.2,residential
