HOY,HeatingDemand_sum,HeatingEnergy_sum,CoolingDemand_sum,CoolingEnergy_sum,IndoorAir_mean,OutsideTemp_mean,SolarGains_sum,COP_mean,HeatingDemand_kWh_h_sum,CoolingDemand_kWh_h_sum,HeatingDemand_Wh_m2h_sum,CoolingDemand_Wh_m2h_sum,Portfolio ID
53,947603.1504743927,947603.1504743927,0.0,0.0,16.0,-5.41,0.0,,947.6031504743927,0.0,12.80269712959503,-0.0,ALL_BUILDINGS
54,1041990.9097218342,1041990.9097218342,0.0,0.0,16.0,-5.09,0.0,,1041.9909097218342,0.0,14.077933386229638,-0.0,ALL_BUILDINGS
55,1177098.8318910515,1177098.8318910515,0.0,0.0,16.0,-5.84,0.0,,1177.0988318910515,0.0,15.903323905958741,-0.0,ALL_BUILDINGS
56,3572007.1678253068,3572007.1678253068,0.0,0.0,20.0,-5.48,0.0,,3572.0071678253066,0.0,48.25999775487844,-0.0,ALL_BUILDINGS
57,3494859.6821395527,3494859.6821395527,0.0,0.0,20.0,-5.23,0.0,,3494.8596821395527,0.0,47.2176881202492,-0.0,ALL_BUILDINGS
58,3426233.812218356,3426233.812218356,0.0,0.0,20.0,-5.380000000000001,140047.02769939095,,3426.233812218356,0.0,46.29051071753983,-0.0,ALL_BUILDINGS
59,3330181.5209498247,3330181.5209498247,0.0,0.0,20.0,-4.7,135078.57244268764,,3330.1815209498245,0.0,44.99278561700695,-0.0,ALL_BUILDINGS
60,3194328.1973282727,3194328.1973282727,0.0,0.0,20.0,-4.48,732212.7369480085,,3194.328197328273,0.0,43.157324268545985,-0.0,ALL_BUILDINGS
61,3030319.2730611954,3030319.2730611954,0.0,0.0,20.0,-3.4400000000000004,908429.0284549313,,3030.3192730611954,0.0,40.94146356473671,-0.0,ALL_BUILDINGS
62,2891348.317788182,2891348.317788182,0.0,0.0,20.0,-2.87,975210.9582623391,,2891.3483177881817,0.0,39.06388110916954,-0.0,ALL_BUILDINGS
63,2790050.7758442294,2790050.7758442294,0.0,0.0,20.0,-2.46,771153.8582715974,,2790.0507758442295,0.0,37.695289469481956,-0.0,ALL_BUILDINGS
64,2734863.0545032406,2734863.0545032406,0.0,0.0,20.0,-2.37,455643.82925889944,,2734.8630545032406,0.0,36.94966965886034,-0.0,ALL_BUILDINGS
65,2725083.6981535954,2725083.6981535954,0.0,0.0,20.0,-2.63,115446.4602621556,,2725.0836981535954,0.0,36.81754458371236,-0.0,ALL_BUILDINGS
66,2749394.757737526,2749394.757737526,0.0,0.0,20.0,-3.52,0.0,,2749.394757737526,0.0,37.14600184200322,-0.0,ALL_BUILDINGS
67,2772160.21870405,2772160.21870405,0.0,0.0,20.0,-4.32,0.0,,2772.16021870405,0.0,37.45357711929532,-0.0,ALL_BUILDINGS
68,2790378.9316539164,2790378.9316539164,0.0,0.0,20.0,-4.9,0.0,,2790.3789316539164,0.0,37.699723054828986,-0.0,ALL_BUILDINGS
69,2821562.9414819228,2821562.9414819228,0.0,0.0,20.0,-5.66,0.0,,2821.5629414819227,0.0,38.12103806725208,-0.0,ALL_BUILDINGS
70,2848543.9291022364,2848543.9291022364,0.0,0.0,20.0,-6.23,0.0,,2848.5439291022362,0.0,38.4855676834604,-0.0,ALL_BUILDINGS
71,2876534.720572417,2876534.720572417,0.0,0.0,20.0,-6.75,0.0,,2876.534720572417,0.0,38.86374036622425,-0.0,ALL_BUILDINGS
72,2900597.560487544,2900597.560487544,0.0,0.0,20.0,-7.130000000000001,0.0,,2900.5975604875443,0.0,39.18884402523707,-0.0,ALL_BUILDINGS
73,606230.2186919384,606230.2186919384,0.0,0.0,16.00175554331067,-7.43,0.0,,606.2302186919385,0.0,8.190540393238999,-0.0,ALL_BUILDINGS
74,765429.0394682325,765429.0394682325,0.0,0.0,16.000674513152706,-7.45,0.0,,765.4290394682325,0.0,10.341413662040624,-0.0,ALL_BUILDINGS
75,898663.7288066047,898663.7288066047,0.0,0.0,16.0,-7.2,0.0,,898.6637288066047,0.0,12.141495662507715,-0.0,ALL_BUILDINGS
76,1039390.4651154949,1039390.4651154949,0.0,0.0,16.0,-7.380000000000001,0.0,,1039.3904651154949,0.0,14.042799791875732,-0.0,ALL_BUILDINGS
77,1159090.877913538,1159090.877913538,0.0,0.0,16.0,-7.33,0.0,,1159.090877913538,0.0,15.660025452822136,-0.0,ALL_BUILDINGS
78,1263992.318569964,1263992.318569964,0.0,0.0,16.0,-7.19,0.0,,1263.992318569964,0.0,17.07730796450444,-0.0,ALL_BUILDINGS
79,1338478.2471374904,1338478.2471374904,0.0,0.0,16.0,-6.630000000000001,0.0,,1338.4782471374904,0.0,18.083658337431423,-0.0,ALL_BUILDINGS
80,3702866.544948182,3702866.544948182,0.0,0.0,20.0,-5.75,0.0,,3702.866544948182,0.0,50.027987837048286,-0.0,ALL_BUILDINGS
81,3593490.7378494907,3593490.7378494907,0.0,0.0,20.0,-5.0,0.0,,3593.490737849491,0.0,48.55025390287075,-0.0,ALL_BUILDINGS
