HOY,HeatingDemand_sum,HeatingEnergy_sum,CoolingDemand_sum,CoolingEnergy_sum,IndoorAir_mean,OutsideTemp_mean,SolarGains_sum,COP_mean,HeatingDemand_kWh_h_sum,CoolingDemand_kWh_h_sum,HeatingDemand_Wh_m2h_sum,CoolingDemand_Wh_m2h_sum,Portfolio ID
130,1154941.6393273955,1154941.6393273955,0.0,0.0,20.0,-5.85,80985.74340615867,,1154.9416393273955,0.0,15.603966706172534,-0.0,ALL_BUILDINGS
131,1052970.6946247378,1052970.6946247378,0.0,0.0,20.0,-4.35,375840.07995450764,,1052.970694624738,0.0,14.226276984063396,-0.0,ALL_BUILDINGS
132,946766.4360873686,946766.4360873686,0.0,0.0,20.0,-3.0599999999999996,544511.1330007828,,946.7664360873687,0.0,12.79139260736367,-0.0,ALL_BUILDINGS
133,815171.3879226906,815171.3879226906,0.0,0.0,20.0,-1.23,646234.4365690665,,815.1713879226907,0.0,11.013463160249225,-0.0,ALL_BUILDINGS
134,708544.9973139599,708544.9973139599,0.0,0.0,20.0,0.12,634916.2093731139,,708.5449973139599,0.0,9.572875521529292,-0.0,ALL_BUILDINGS
135,648788.6990997414,648788.6990997414,0.0,0.0,20.0,0.75,501063.32130896475,,648.7886990997414,0.0,8.765531447969172,-0.0,ALL_BUILDINGS
136,594875.8534796376,594875.8534796376,0.0,0.0,20.0,1.6600000000000001,364505.03251711954,,594.8758534796376,0.0,8.037135986722282,-0.0,ALL_BUILDINGS
137,598798.2474949752,598798.2474949752,0.0,0.0,20.0,1.64,157996.92710303937,,598.7982474949753,0.0,8.090129924718545,-0.0,ALL_BUILDINGS
138,638256.3218363734,638256.3218363734,0.0,0.0,20.0,1.06,0.0,,638.2563218363734,0.0,8.623232600513855,-0.0,ALL_BUILDINGS
139,622349.1569208837,622349.1569208837,0.0,0.0,20.0,1.83,0.0,,622.3491569208837,0.0,8.408317090258766,-0.0,ALL_BUILDINGS
140,628738.2096811031,628738.2096811031,0.0,0.0,20.0,1.93,0.0,,628.7382096811032,0.0,8.494637093936616,-0.0,ALL_BUILDINGS
141,643999.0793836125,643999.0793836125,0.0,0.0,20.0,1.76,0.0,,643.9990793836125,0.0,8.700820761263628,-0.0,ALL_BUILDINGS
142,651488.9522608194,651488.9522608194,0.0,0.0,20.0,1.7799999999999998,0.0,,651.4889522608194,0.0,8.80201351683651,-0.0,ALL_BUILDINGS
143,659559.8897843651,659559.8897843651,0.0,0.0,20.0,1.76,0.0,,659.559889784365,0.0,8.911056810555099,-0.0,ALL_BUILDINGS
144,663121.6803315523,663121.6803315523,0.0,0.0,20.0,1.8399999999999999,0.0,,663.1216803315523,0.0,8.959178775527317,-0.0,ALL_BUILDINGS
145,657918.9452733453,657918.9452733453,0.0,0.0,20.0,2.13,0.0,,657.9189452733453,0.0,8.88888664831942,-0.0,ALL_BUILDINGS
146,677882.7581878927,677882.7581878927,0.0,0.0,20.0,1.7200000000000002,0.0,,677.8827581878927,0.0,9.158609949860676,-0.0,ALL_BUILDINGS
147,686500.0962542014,686500.0962542014,0.0,0.0,20.0,1.62,0.0,,686.5000962542014,0.0,9.275035448521216,-0.0,ALL_BUILDINGS
148,700818.4686292561,700818.4686292561,0.0,0.0,20.0,1.36,0.0,,700.8184686292561,0.0,9.468485401505031,-0.0,ALL_BUILDINGS
