Building ID,Building ID [filename],Thermal class,Thermal class index,Usage type,Latitude [deg],Longitude [deg],Heated area [m2],Heated volume [m3],Window area [m2],Window-to-Wall ratio [-],U walls [W/m2K],U windows [W/m2K],Internal gains [W/m2],ACH ventilation [1/h],ACH infiltration [1/h],Ventilation efficiency [-],Thermal capacitance [J/m2K],Heating setpoint day [C],Heating setpoint night [C],Cooling setpoint [C],Summer start day-of-year,Summer end day-of-year,Max heating energy per floor area [W/m2],Max cooling energy per floor area [W/m2]
DEBW_522100063eT,DEBW_522100063eT,light,2,residential,48.77075,9.21102,3143.4,8185.4,290.53000000000003,0.1800039652544578,0.699216444002797,2.57,4.2,0.44,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_5221000647b,DEBW_5221000647b,light,2,residential,48.77086,9.20962,334.4,1044.9,75.96,0.20853809196980094,0.716542093231289,2.57,4.2,0.44,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_522100064GG,DEBW_522100064GG,light,2,residential,48.77436,9.21289,350.2,1094.3,93.17999999999999,0.20602281772353406,0.7242297056473912,2.57,4.2,0.41,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006GkA,DEBW_52210006GkA,light,2,residential,48.77294,9.20748,360.6,1126.7,78.03000000000002,0.21200347769385428,0.7066339986169731,2.5699999999999994,4.2,0.41,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006HCZ,DEBW_52210006HCZ,light,2,residential,48.77152,9.21291,550.0,1718.8,108.92,0.21531223436851368,0.6977571669477236,2.57,4.2,0.45,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006HXy,DEBW_52210006HXy,light,2,residential,48.7726,9.20792,192.3,600.8,46.97999999999999,0.19992340099578704,0.65424856870229,2.5700000000000007,4.2,0.43,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006Hkl,DEBW_52210006Hkl,light,2,residential,48.77298,9.20693,316.7,989.8,57.05,0.1705071879016109,0.7187507477826618,2.5700000000000003,4.2,0.43,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006Hwg,DEBW_52210006Hwg,light,2,residential,48.77168,9.20628,851.2,2105.4,179.73999999999998,0.2983434584868705,0.6970414883368342,2.5700000000000003,4.2,0.41,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006I2P,DEBW_52210006I2P,light,2,residential,48.7717,9.20506,311.4,973.1,80.59,0.21598949399656947,0.6959061470287468,2.5699999999999994,4.2,0.43,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006I2R,DEBW_52210006I2R,light,2,residential,48.77203,9.20895,581.3,1816.4,122.58000000000001,0.21190747847733638,0.7069076579654686,2.57,4.2,0.45,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006Id7,DEBW_52210006Id7,light,2,residential,48.77313,9.20484,239.4,748.1,76.6,0.20419587876202916,0.7300150746193658,2.57,4.2,0.46,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006IeR,DEBW_52210006IeR,light,2,residential,48.77246,9.20445,136.9,428.0,49.56,0.20135700646000082,0.7390844765910609,2.57,4.2,0.45,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006InL,DEBW_52210006InL,light,2,residential,48.77461,9.20567,246.9,771.5,77.77999999999999,0.20071740084126857,0.7414272786687446,2.57,4.2,0.46,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006Iok,DEBW_52210006Iok,light,2,residential,48.77492,9.20467,246.1,769.0,54.54,0.17930762402603806,0.6964638539748618,2.57,4.2,0.41,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006Isp,DEBW_52210006Isp,light,2,residential,48.77446,9.2058,212.9,665.2,70.16000000000001,0.21032435997361956,0.7112963852848524,2.57,4.2,0.44,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006IxM,DEBW_52210006IxM,light,2,residential,48.77192,9.20459,1406.2,4394.4,217.86999999999998,0.21852119315560367,0.7154670963336748,2.5700000000000003,4.2,0.4,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006J1X,DEBW_52210006J1X,light,2,residential,48.77211,9.21095,211.3,660.2,53.949999999999996,0.3055964653902798,0.6750942170240416,2.5700000000000003,4.2,0.43,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006J9b,DEBW_52210006J9b,light,2,residential,48.77472,9.20611,615.6,1923.8,130.58,0.21008092411152404,0.7121578909561095,2.569999999999999,4.2,0.41,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006JsB,DEBW_52210006JsB,light,2,residential,48.7727,9.20422,434.9,1359.2,92.3,0.21401905998562384,0.7012682311986076,2.5699999999999994,4.2,0.42,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006KHx,DEBW_52210006KHx,light,2,residential,48.77338,9.20395,399.6,1248.6,96.35,0.2102931226400681,0.7114569922794187,2.5700000000000003,4.2,0.39,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006KZK,DEBW_52210006KZK,light,2,residential,48.7726,9.20936,207.8,649.4,63.72,0.21989854022155503,0.6862634621924951,2.5700000000000003,4.2,0.43,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006KbP,DEBW_52210006KbP,light,2,residential,48.77584,9.2084,285.1,890.8,74.84,0.20735897151723376,0.7200316816626536,2.57,4.2,0.4,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006KcE,DEBW_52210006KcE,light,2,residential,48.77141,9.2098,399.2,1247.5,78.95,0.21762500689122882,0.6917935296423547,2.5699999999999994,4.2,0.46,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006Krt,DEBW_52210006Krt,light,2,residential,48.77351,9.20395,166.7,521.1,53.129999999999995,0.31677796327212016,0.6470367915147497,2.5700000000000003,4.2,0.39,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006NMW,DEBW_52210006NMW,light,2,residential,48.77126,9.21238,328.3,1026.0,83.72,0.2089917371876482,0.7151922687487343,2.57,4.2,0.39,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_52210006NNm,DEBW_52210006NNm,light,2,residential,48.7708,9.20883,273.0,853.3,57.809999999999995,0.3214345287739783,0.6367598475222362,2.5700000000000003,4.2,0.46,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_5221Us0004K,DEBW_5221Us0004K,light,2,residential,48.77467,9.20589,298.1,931.6,106.33,0.2960683855877931,0.7045770995682749,2.5699999999999994,4.2,0.45,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
DEBW_522Ue00002q,DEBW_522Ue00002q,light,2,residential,48.7725,9.20892,238.4,744.9,74.96,0.2110598040319856,0.7093131806514318,2.5700000000000003,4.2,0.43,0,0,110000,20.0,16.0,25.0,121,273,inf,-inf
