Tzone_luft,Q_heiz,Q_kuehl,Q_soltr
°C,kWh,kWh,kWh
18.0,9.626706102442936,0.0,0.0
20.0,11.123618663648182,0.0,0.1876017791979086
20.0,10.39079266395998,0.0,1.4034628868331254
20.0,10.0465351938263,0.0,1.4665357335776634
20.0,9.818891917192758,0.0,1.3837415674407845
20.0,9.744414236353776,0.0,1.1462532627309963
20.0,9.4486849622412,0.0,1.5942485148000787
20.0,9.252844754562005,0.0,1.810020679048347
20.0,9.41729245599461,0.0,0.7945486522829246
20.0,9.627689595517294,0.0,0.12138938825946072
20.0,9.693316423207968,0.0,0.0
20.0,9.71579964683388,0.0,0.0
20.0,9.756504322964853,0.0,0.0
20.0,9.821976141791165,0.0,0.0
20.0,9.887845058119273,0.0,0.0
20.0,9.922789235545974,0.0,0.0
20.0,9.939561411107894,0.0,0.0
18.0,5.594736884373754,0.0,0.0
16.0,4.222551416966776,0.0,0.0
16.0,4.695062434468446,0.0,0.0
16.0,5.01413222936535,0.0,0.0
16.0,5.241971559357783,0.0,0.0
16.0,5.39584119955064,0.0,0.0
16.0,5.508735983870768,0.0,0.0
18.0,9.940797702842197,0.0,0.0
20.0,11.34600084375814,0.0,0.07724779430049544
20.0,10.82596524043902,0.0,0.3310619839260769
20.0,10.39615763497901,0.0,0.5407345503588555
20.0,10.058401237447914,0.0,0.6621239678521538
20.0,9.790057695060565,0.0,0.7062655033434442
20.0,9.610875138983442,0.0,0.6621239678521538
20.0,9.524443845796073,0.0,0.5186637826132106
20.0,9.481067040592752,0.0,0.3089911577127568
20.0,9.43522710565683,0.0,0.05517699732101282
20.0,9.32742608899984,0.0,0.0
20.0,9.19984293239508,0.0,0.0
20.0,9.089206922866119,0.0,0.0
20.0,9.026556272766376,0.0,0.0
20.0,8.971751826262835,0.0,0.0
20.0,8.906123470713752,0.0,0.0
20.0,8.826715009567051,0.0,0.0
18.0,4.3999156884053,0.0,0.0
16.0,2.9556789187448156,0.0,0.0
16.0,3.3563913137477277,0.0,0.0
16.0,3.610515665967606,0.0,0.0
16.0,3.7900332732806254,0.0,0.0
16.0,3.9332569234897443,0.0,0.0
16.0,4.050272770633103,0.0,0.0
18.0,8.488845912480635,0.0,0.0
20.0,9.924010595548438,0.0,0.0772477894281892
20.0,9.448021021379464,0.0,0.3310619839260769
20.0,8.986272844207738,0.0,0.8497256885823874
20.0,8.642409282079024,0.0,1.0483629880776937
20.0,8.491308324042798,0.0,0.7173009261947166
20.0,8.231942882532085,0.0,1.0373275652264211
20.0,8.118223490767,0.0,0.9159381477331229
20.0,8.114672800963664,0.0,0.5517699732101282
20.0,8.182893391513094,0.0,0.09931858153536557
20.0,8.192056758326224,0.0,0.0
20.0,8.159168978747532,0.0,0.0
20.0,8.070932637606505,0.0,0.0
20.0,7.973167765243699,0.0,0.0
20.0,7.875265309505865,0.0,0.0
20.0,7.801277411101983,0.0,0.0
20.0,7.766942186161744,0.0,0.0
18.0,3.3907627712775703,0.0,0.0
16.0,1.9765779190759831,0.0,0.0
16.0,2.3746390159903323,0.0,0.0
16.0,2.6165376280732824,0.0,0.0
16.0,2.7821196642792345,0.0,0.0
16.0,2.902279673531375,0.0,0.0
16.0,2.9951169226787817,0.0,0.0
18.0,7.442252259848537,0.0,0.0
20.0,8.892930463168804,0.0,0.0772477894281892
20.0,8.434643741120517,0.0,0.3420973677988995
20.0,7.997084074771192,0.0,0.8497256885823874
20.0,7.631688701661034,0.0,1.1807876725084643
20.0,7.368726925152158,0.0,1.2470000537022998
20.0,7.202317256922429,0.0,1.1587169047628192
20.0,7.157534202366926,0.0,0.8276549208367423
20.0,7.208117485769722,0.0,0.32002656107480437
20.0,7.2096427101523695,0.0,0.05517699732101282
20.0,7.1349531318172374,0.0,0.0
20.0,7.045716394070065,0.0,0.0
20.0,7.026605651419151,0.0,0.0
20.0,7.038890296071872,0.0,0.0
20.0,7.054978822198407,0.0,0.0
20.0,7.029703170251272,0.0,0.0
20.0,6.942844432090424,0.0,0.0
18.0,2.4990248532755017,0.0,0.0
16.0,1.0326771406941246,0.0,0.0
16.0,1.4487803735348683,0.0,0.0
16.0,1.752813611628444,0.0,0.0
16.0,1.9896193490018126,0.0,0.0
16.0,2.1837929765037227,0.0,0.0
16.0,2.3487698044078975,0.0,0.0
18.0,6.830316475772989,0.0,0.0
20.0,8.264630968992108,0.0,0.14346018523894336
20.0,7.757908968758364,0.0,0.5407345503588555
20.0,7.464768695715077,0.0,0.5517699732101282
20.0,7.203175828514674,0.0,0.684194735597799
20.0,7.006874190678209,0.0,0.7173009261947166
